#Name	E(B-V) (mag)	Age (Gyr)	[Fe/H] (dex)	(m-M)o (mag)
AM3	0.025	6.00	-1.25	18.90
B112	0.05	1.60	-0.7	18.90
B34	0.03	1.20	-0.70	18.90
B39	0.01	1.50	-0.7	18.90
B47	0.01	1.40	-0.30	18.90
BRHT4B	0.15	0.10	-0.40	18.50
BS121	0.14	2.30	-0.66	18.90
BS265	0.068	0.63	-0.4	18.90
BS35	0.014	0.50	-0.4	18.90
BS88	0.04	2.00	-0.70	18.90
BSDL1024	0.08	0.16	-0.4	18.50
BSDL1035	0.06	0.50	-0.4	18.50
BSDL2995	0.07	1.00	-0.4	18.50
BSDL3158	0.1	2.00	-0.7	18.50
BSDL594	0.05	1.40	-0.4	18.50
BSDL654	0.03	0.22	0	18.50
BSDL665	0.03	0.90	-0.4	18.50
BSDL675	0.06	1.10	-0.4	18.50
BSDL716	0.06	0.40	-0.4	18.50
BSDL761	0.04	0.14	-0.4	18.50
BSDL779	0.04	0.10	0	18.50
C11	0.1	0.32	-0.4	18.50
CZ26	0.05	1.30	0.00	14.15
CZ30	0.26	2.50	-0.40	14.00
H86-197	0.024	1.26	-0.4	18.90
H86-70	0.035	0.63	-0.4	18.05
H88-188	0.06	0.45	-0.4	18.50
H88-245	0.08	0.16	-0.4	18.50
H88-26	0.06	0.79	-0.4	18.50
H88-333	0.07	0.40	-0.4	18.50
H88-40	0.06	0.71	-0.4	18.50
H88-55	0.06	0.50	-0.4	18.50
HAF11	0.57	0.50	-0.40	13.90
HS130	0.06	0.14	-0.4	18.50
HS156	0.06	1.10	-0.4	18.50
HS178	0.04	0.63	-0.4	18.50
HS151	0.06	0.79	-0.4	18.50
HS154	0.06	0.50	-0.4	18.50
HS38	0.05	0.40	-0.4	18.50
HW22	0.06	6.00	-1.30	18.90
HW31	0.03	4.80	-0.90	18.90
HW40	0.06	5.40	-1.10	18.90
HW41	0.06	6.00	-1.00	18.90
HW42	0.03	9.30	-1.40	18.90
HW47	0.05	2.80	-0.92	18.90
HW55	0.02	2.50	-1.00	18.90
HW59	0.04	6.70	-1.00	18.90
HW63	0.04	5.40	-0.70	18.90
HW66	0.05	3.80	-1.30	18.90
HW67	0.02	2.80	-1.20	18.90
HW79	0.05	4.70	-1.30	18.90
HW84	0.03	1.20	-0.91	18.90
HW85	0.03	1.80	-0.70	18.90
HW86	0.04	1.10	-0.61	18.90
K38	0.02	3.10	-1.10	18.90
KMHK1045	0.06	0.63	-0.4	18.50
KMHK1055	0.06	1.00	-0.4	18.50
KMHK123	0.12	1.10	-0.7	18.50
KMHK128	0.11	1.40	-0.7	18.50
KMHK151	0.12	1.30	-0.7	18.50
KMHK1702	0.11	1.00	-0.7	18.50
KMHK1719	0.09	1.40	-0.50	18.50
KMHK229	0.1	1.00	-0.4	18.50
KMHK506	0.06	0.56	-0.4	18.50
L100	0.04	2.10	-0.50	18.90
L102	0.04	0.60	-0.70	18.90
L106	0.05	1.60	-0.88	18.90
L108	0.04	1.40	-1.05	18.90
L109	0.04	3.00	-0.70	18.90
L110	0.03	6.40	-1.03	18.90
L111	0.07	1.10	-0.82	18.90
L112	0.06	6.50	-1.10	18.90
L113	0.03	6.00	-1.12	18.90
L114	0.04	0.14	-0.70	18.90
L115	0.03	0.11	-0.70	18.90
L19	0.01	2.10	-0.87	18.90
L27	0.11	2.10	-1.14	18.90
L28	0.08	1.00	-0.70	18.90
L3	0.04	1.15	-0.70	18.90
L30	0.05	0.16	-0.70	18.90
L34	0.05	0.25	-0.70	18.90
L35	0.02	0.22	-0.70	18.90
L4	0.04	3.10	-1.08	18.90
L45	0.07	0.14	-0.70	18.90
L49	0.07	0.03	-0.70	18.90
L5	0.04	4.10	-1.25	18.90
L50	0.07	0.08	-0.70	18.90
L58	0.02	2.00	-0.90	18.90
L6	0.03	3.30	-1.24	18.90
L62	0.06	0.13	-0.70	18.90
L63	0.06	0.11	-0.70	18.90
L7	0.02	2.00	-0.76	18.90
L72	0.14	0.03	-0.70	18.90
L91	0.04	4.30	-0.70	18.90
LW211	0.1	1.80	-0.7	18.50
LW224	0.06	0.70	0.00	18.50
LW469	0.08	0.63	-0.4	18.50
LW69	0.12	1.60	-0.7	18.50
NGC1697	0.04	0.70	0.00	18.50
NGC1836	0.06	0.40	0.00	18.50
NGC1838	0.15	0.10	-0.40	18.50
NGC1839	0.15	0.13	-0.40	18.50
NGC1860	0.08	0.25	0.00	18.50
NGC1863	0.15	0.05	-0.40	18.50
NGC1865	0.06	0.50	-0.20	18.50
NGC1997	0.04	2.60	-0.70	18.50
NGC2093	0.07	0.25	-0.4	18.50
NGC2161	0.13	1.10	-0.60	18.50
NGC2236	0.55	0.60	-0.30	12.00
NGC2324	0.2	0.45	-0.30	13.00
NGC2627	0.12	1.25	-0.10	11.50
NGC294	0.06	0.32	-0.70	18.90
NGC339	0.04	5.40	-1.30	18.90
NGC419	0.03	1.20	-0.70	18.90
OHSC28	0.04	2.40	-0.70	18.50
RUP1	0.25	0.22	-0.15	11.20
SL33	0.12	2.00	-0.4	18.50
SL41	0.12	1.30	-0.4	18.50
SL54	0.12	0.90	-0.4	18.50
SL72	0.13	0.25	-0.4	18.50
SL73	0.12	1.60	-0.7	18.50
SL870	0.09	1.10	-0.4	18.50
SL133	0.02	2.20	-0.65	18.50
SL154	0.06	0.50	-0.4	18.50
SL218	0.15	0.05	-0.40	18.50
SL229	0.06	0.32	-0.4	18.50
SL244	0.06	1.20	-0.40	18.50
SL293	0.06	0.40	-0.4	18.50
SL300	0.06	0.40	-0.4	18.50
SL351	0.06	0.45	-0.4	18.50
SL359	0.06	1.60	-0.20	18.50
SL444	0.06	0.50	-0.40	18.50
SL446A	0.06	2.20	-0.70	18.50
SL505	0.07	0.90	-0.40	18.50
SL510	0.08	0.13	-0.4	18.50
SL548	0.08	0.40	0.00	18.50
SL549	0.04	1.70	-0.70	18.50
SL555	0.07	1.90	-0.70	18.50
SL588	0.06	0.40	-0.4	18.50
SL663	0.04	3.00	-0.75	18.50
SL674	0.05	2.30	-1.00	18.50
SL678	0.05	1.50	-0.70	18.50
SL874	0.09	1.40	-0.60	18.50
TO1	    0.3	    1.30	-0.30	11.75
TR5	    0.6	    5.00	-0.30	11.88
