Source,RA_ICRS,DE_ICRS,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,RV,e_RV,Gmag,BP-RP,e_Gmag,e_BP-RP
1,116.9267,-59.9713,2.4445,0.0558,-3.8230,0.0722,11.3271,0.0661,,,17.2206,2.3532,0.0030,0.0201
2,119.8456,-60.5398,2.4062,0.0106,-4.3266,0.0146,11.3605,0.0133,10.7324,3.6585,11.6366,0.6749,0.0028,0.0047
3,119.2300,-60.9699,2.4828,0.0400,-4.6412,0.0513,11.6262,0.0490,,,16.5348,2.0647,0.0029,0.0084
4,120.0393,-60.5598,2.3707,0.0097,-5.0551,0.0138,11.0286,0.0133,23.4454,2.2131,13.1336,0.9380,0.0028,0.0049
5,119.2528,-60.9582,2.4521,0.0175,-4.3800,0.0218,10.8200,0.0213,28.2340,3.8001,14.8484,1.3789,0.0028,0.0053
6,120.0257,-60.5883,2.4334,0.0138,-5.2515,0.0202,11.2879,0.0185,24.7874,3.7715,14.2369,1.1920,0.0028,0.0051
7,120.0147,-60.5820,2.4900,0.0594,-5.1704,0.0894,11.1890,0.0765,,,17.2825,2.2694,0.0029,0.0166
8,116.9295,-60.1684,2.4920,0.0128,-4.0940,0.0167,11.6597,0.0153,14.4487,3.9575,9.9598,0.2368,0.0028,0.0047
9,120.0101,-60.5870,2.4910,0.0553,-4.2011,0.0835,10.5850,0.0723,,,17.1374,2.2843,0.0032,0.0201
10,120.1364,-58.8667,2.3759,0.0134,-3.9870,0.0171,10.6497,0.0164,16.3639,4.1385,9.5850,0.1548,0.0028,0.0047
11,116.7508,-60.1502,2.4057,0.0105,-3.8951,0.0126,11.3516,0.0116,26.5046,3.9402,12.5464,0.8471,0.0028,0.0049
12,120.0110,-60.6154,2.4608,0.0122,-5.1591,0.0173,11.5186,0.0172,22.0851,2.4579,12.7147,0.9137,0.0028,0.0050
13,119.8045,-60.5030,2.2739,0.1524,-4.8926,0.2215,10.8727,0.1863,,,18.9380,2.9595,0.0036,0.0639
14,115.0669,-61.5143,2.5050,0.0751,-3.8188,0.1013,11.4626,0.0993,,,17.6497,2.5093,0.0030,0.0298
15,119.6359,-60.5231,2.4943,0.0664,-5.0033,0.0946,10.7452,0.0705,,,17.4691,2.5046,0.0030,0.0248
16,119.6714,-60.5248,2.5122,0.0885,-5.3102,0.1268,11.8965,0.1030,,,17.9789,2.5441,0.0030,0.0310
17,119.2282,-60.9564,2.4364,0.0989,-4.4010,0.1159,10.6682,0.1109,,,18.0279,2.6138,0.0031,0.0368
18,119.6823,-60.5490,2.5022,0.0286,-4.5871,0.0394,11.4437,0.0323,26.3356,1.8803,12.4102,0.9907,0.0028,0.0049
19,119.6575,-60.5608,2.4515,0.0110,-4.3830,0.0149,11.1643,0.0129,25.8112,2.0150,10.7926,0.3814,0.0028,0.0047
20,119.6849,-60.5665,2.4722,0.0742,-4.8849,0.1042,11.9047,0.0838,,,17.7420,2.3937,0.0029,0.0373
21,119.2509,-61.0658,2.4106,0.0114,-4.3307,0.0135,11.0876,0.0143,28.1910,4.2790,13.7851,1.0954,0.0028,0.0056
22,120.0207,-60.5589,2.4454,0.0174,-4.9652,0.0252,10.8498,0.0232,20.9277,4.1125,14.6608,1.3390,0.0028,0.0055
23,120.0219,-60.5585,2.3891,0.0401,-4.6136,0.0597,10.7574,0.0532,,,16.3167,1.9353,0.0029,0.0233
24,118.3974,-59.0032,2.4721,0.1070,-4.1228,0.1374,10.7420,0.1433,,,18.0714,2.5770,0.0032,0.0532
25,117.4781,-60.0514,2.3496,0.0178,-4.5373,0.0182,11.0435,0.0177,22.3738,0.1357,6.3536,1.3931,0.0028,0.0049
26,117.7065,-60.0787,2.4112,0.0131,-3.6651,0.0156,11.3038,0.0142,20.3679,3.6142,13.9413,1.1457,0.0028,0.0056
27,117.5707,-60.0723,2.4882,0.0111,-5.0396,0.0128,11.3736,0.0139,20.5471,2.7184,10.2069,0.2876,0.0028,0.0047
28,120.1887,-60.5083,2.5303,0.0172,-4.7905,0.0254,11.7534,0.0204,21.4523,3.1168,9.8589,0.2122,0.0028,0.0047
29,119.1983,-61.0770,2.4320,0.0183,-4.9684,0.0221,11.5537,0.0237,5.4908,7.1581,14.9321,1.3923,0.0028,0.0055
30,120.0382,-60.4711,2.2960,0.1562,-5.2286,0.2174,11.4995,0.2122,,,18.7317,2.7193,0.0033,0.0736
31,119.9604,-60.5028,2.4283,0.1167,-4.6869,0.1564,11.2874,0.1520,,,18.4036,2.7154,0.0031,0.0656
32,120.0089,-60.5085,2.4824,0.0739,-5.0195,0.1121,10.7264,0.0987,,,17.7281,2.5446,0.0030,0.0302
33,118.3905,-62.5830,2.4444,0.0233,-4.0490,0.0288,11.4698,0.0310,,,15.2000,1.5096,0.0028,0.0060
34,119.9346,-60.5387,2.5270,0.0580,-4.2956,0.0860,10.0283,0.0720,,,17.0490,2.4606,0.0030,0.0175
35,117.3400,-60.0214,2.4679,0.0217,-3.8048,0.0278,11.9012,0.0297,,,15.4198,1.6115,0.0028,0.0062
36,119.9700,-60.5471,2.5747,0.0138,-4.9956,0.0203,11.8319,0.0183,27.6327,3.9946,14.1521,1.2011,0.0028,0.0054
37,119.0368,-60.8268,2.3714,0.0408,-4.2087,0.0568,11.9743,0.0473,,,16.5211,2.0367,0.0028,0.0094
38,119.1775,-61.0967,2.2976,0.0992,-4.7239,0.1186,11.0268,0.1279,,,18.0472,2.7838,0.0030,0.0335
39,118.9201,-59.2838,2.4546,0.0113,-4.1236,0.0132,11.2606,0.0128,23.2184,0.9834,10.5546,0.3794,0.0028,0.0047
40,119.1561,-61.1064,2.4122,0.1361,-4.3648,0.1460,11.8749,0.1699,,,18.5117,2.8645,0.0032,0.0647
41,118.9082,-59.3061,2.4221,0.0617,-3.8037,0.0709,10.7039,0.0765,,,17.0943,2.0227,0.0033,0.0493
42,120.1383,-60.5231,2.4255,0.0106,-4.7724,0.0158,11.1939,0.0145,17.2698,3.8860,12.3570,0.8196,0.0028,0.0049
43,120.1708,-60.5305,2.4054,0.0109,-4.1295,0.0179,10.5721,0.0122,9.7029,5.8279,12.0602,0.7996,0.0028,0.0047
44,119.7857,-60.5498,2.4411,0.0515,-4.5624,0.0740,11.6867,0.0618,,,17.0517,2.3072,0.0029,0.0148
45,119.2105,-60.9603,2.5712,0.0770,-4.6012,0.0927,11.6443,0.0915,,,17.6854,2.8157,0.0029,0.0323
46,117.6238,-60.0797,2.2196,0.0113,-2.8083,0.0136,10.2790,0.0135,,,11.3168,0.7571,0.0028,0.0048
47,119.2227,-60.9495,2.4415,0.1225,-4.1568,0.1409,10.7095,0.1373,,,18.2876,3.0499,0.0032,0.0564
48,119.3470,-60.9311,2.4625,0.0128,-4.6334,0.0159,11.3846,0.0166,30.9104,6.4629,11.4609,0.6710,0.0028,0.0047
49,122.0772,-60.9219,2.4476,0.0097,-5.2056,0.0136,11.1656,0.0115,22.3159,1.6766,13.0946,0.9195,0.0028,0.0052
50,119.5170,-60.6409,2.4353,0.0719,-4.9060,0.1011,11.0781,0.0759,,,17.6181,2.3990,0.0029,0.0283
