DR3Name,RA_ICRS,DE_ICRS,Plx,e_Plx,PM,pmRA,e_pmRA,pmDE,e_pmDE,Gmag,e_Gmag,BP-RP,e_BP-RP
1,6.9702,61.0644,0.4155,0.1298,4.723,-4.596,0.113,-1.088,0.126,18.23631,0.003055,1.417509,0.0181
2,6.973,61.0663,0.1394,0.1147,0.728,-0.709,0.101,0.164,0.115,18.068916,0.002972,1.489637,0.0251
3,6.9929,61.0615,0.1798,0.0815,1.397,-1.345,0.075,0.374,0.071,17.406872,0.002857,1.89599,0.0133
4,6.8977,61.0641,nan,nan,nan,nan,nan,nan,nan,18.103613,0.007146,1.127492,0.0262
5,6.9032,61.0656,0.2339,0.0175,2.666,-2.651,0.017,0.277,0.018,14.180438,0.002762,1.828795,0.0049
6,6.9025,61.063,0.4788,0.0275,0.381,0.088,0.026,-0.37,0.028,15.288408,0.002767,1.167862,0.0051
7,6.8969,61.0641,-0.1351,0.1333,1.509,-1.403,0.114,-0.558,0.132,16.813293,0.003173,1.13982,0.0269
8,6.9548,61.061,0.1693,0.1079,1.254,-0.824,0.094,0.945,0.096,17.797808,0.003011,1.394621,0.0141
9,6.9338,61.0696,0.221,0.0591,2.681,-2.674,0.051,-0.197,0.052,16.854729,0.002827,1.124311,0.0072
10,6.9326,61.0675,0.2333,0.0173,2.845,-2.713,0.015,-0.855,0.016,13.965365,0.00276,1.563373,0.0048
11,6.9363,61.0636,0.0577,0.0622,2.518,-2.518,0.054,-0.02,0.054,16.902958,0.00283,1.014435,0.0095
12,6.9492,61.0777,0.9137,0.028,10.244,4.345,0.025,-9.277,0.025,15.408711,0.002768,1.239792,0.0054
13,6.9416,61.0804,0.0938,0.0904,1.971,-0.003,0.078,-1.971,0.08,17.604294,0.002889,1.31502,0.0144
14,6.9454,61.0775,0.0194,0.1368,0.535,0.011,0.122,0.534,0.136,18.305141,0.003157,1.691877,0.0998
15,6.9511,61.0775,0.2527,0.0982,1.758,-1.756,0.086,-0.092,0.087,17.672644,0.002909,1.224792,0.0225
16,6.9445,61.0695,0.4481,0.1182,4.496,-4.495,0.104,0.054,0.112,18.076553,0.003076,1.466179,0.035
17,6.9439,61.0686,0.2026,0.0775,2.278,-1.931,0.068,-1.208,0.072,16.67672,0.002866,1.374443,0.0075
18,6.9455,61.0781,0.2659,0.0788,0.414,0,0.069,0.414,0.07,17.381794,0.002931,1.271856,0.023
19,6.9431,61.0735,0.3264,0.0295,2.851,-2.636,0.026,-1.088,0.028,15.486486,0.00277,1.170419,0.0052
20,6.9625,61.0718,0.7345,0.0747,3.863,-3.642,0.068,1.287,0.069,17.220785,0.002842,1.398848,0.01
21,6.9479,61.068,0.3586,0.0536,2.842,-2.782,0.047,0.579,0.048,16.535501,0.002815,1.328556,0.0067
22,6.957,61.0649,0.2789,0.1165,2.814,-2.756,0.102,0.571,0.101,18.06766,0.002966,1.38406,0.0201
23,6.9615,61.0639,1,0.019,12.885,-12.29,0.017,-3.871,0.017,14.035494,0.00276,1.304382,0.0049
24,6.9088,61.0695,0.3836,0.1521,1.558,-1.289,0.133,-0.875,0.159,18.462957,0.003427,1.559429,0.0352
25,6.9188,61.0759,0.2934,0.0419,3.154,-2.991,0.037,-1.001,0.038,16.097696,0.002787,1.117681,0.0059
26,6.9061,61.0768,-0.0466,0.1256,1.534,-1.264,0.113,-0.868,0.126,18.223341,0.003016,1.488327,0.0237
27,6.8999,61.0822,2.4928,0.0301,5.99,5.976,0.028,-0.418,0.028,14.644353,0.002775,1.641368,0.0049
28,6.9049,61.0802,0.5796,0.1052,10.405,-0.567,0.096,10.39,0.097,17.903046,0.002918,1.699348,0.0239
29,6.9042,61.0731,0.4898,0.0154,3.285,-2.774,0.014,-1.76,0.014,13.73161,0.002764,0.663447,0.0048
30,6.9128,61.0662,0.2883,0.0426,2.205,-2.204,0.039,-0.072,0.038,16.052052,0.002801,1.132547,0.0062
31,6.8987,61.0764,0.1607,0.0446,1.339,1.31,0.042,-0.274,0.045,16.178627,0.002792,1.731219,0.0079
32,6.925,61.0757,0.3406,0.079,3.695,-3.35,0.07,-1.559,0.069,17.368378,0.002865,1.325746,0.0139
33,6.925,61.081,0.1309,0.1078,2.377,-2.359,0.095,-0.287,0.093,17.897488,0.002947,1.412926,0.0179
34,6.9036,61.0903,0.6023,0.0346,2.418,-0.253,0.032,-2.405,0.033,15.801423,0.002779,1.192692,0.0056
35,6.9003,61.0901,0.3866,0.1092,5.352,-5.349,0.1,-0.184,0.099,17.862392,0.002991,1.447224,0.0214
36,6.9094,61.0876,0.3636,0.0688,2.49,-2.47,0.062,-0.315,0.064,17.172203,0.002836,1.311289,0.0109
37,6.9273,61.0779,0.7192,0.0268,3.27,-3.063,0.024,-1.146,0.024,15.266146,0.002767,1.107509,0.0052
38,6.9788,61.0787,-0.0115,0.1038,1.94,-1.936,0.093,-0.122,0.097,17.872433,0.002931,1.422287,0.0151
39,6.9738,61.0794,0.3324,0.1136,2.747,-2.085,0.102,-1.788,0.099,17.959705,0.002964,1.408039,0.0152
40,6.9785,61.0747,0.7204,0.0106,2.812,-2.78,0.009,-0.42,0.01,12.165177,0.002759,1.712481,0.0047
41,6.9947,61.0832,0.3439,0.0418,2.91,-2.692,0.036,-1.104,0.038,16.222893,0.002793,1.047009,0.0063
42,6.9722,61.0861,0.1946,0.0962,2.952,2.752,0.083,1.067,0.085,17.76649,0.002911,1.504826,0.0112
43,6.9755,61.0902,0.1166,0.1061,1.262,-1.19,0.092,-0.422,0.096,17.980257,0.002929,1.089287,0.0149
44,6.9984,61.0978,0.3375,0.1353,1.916,-1.916,0.123,-0.004,0.134,18.326948,0.003057,1.405914,0.0256
45,6.9767,61.1053,0.6605,0.0171,3.117,-0.424,0.016,3.088,0.016,14.179392,0.00276,1.55498,0.0048
46,6.994,61.0966,0.3187,0.0555,2.366,-1.779,0.049,-1.56,0.05,16.013855,0.002805,1.571041,0.0067
47,6.998,61.1032,0.2562,0.0914,5.229,-4.625,0.081,-2.44,0.081,17.698145,0.002904,1.366005,0.017
48,6.9928,61.1074,0.1826,0.0887,1.592,-1.459,0.078,-0.637,0.084,17.634478,0.0029,1.072761,0.0118
49,6.991,61.1131,1.2128,0.0562,14.62,-14.266,0.051,-3.199,0.053,16.766148,0.002816,1.596286,0.0104
50,6.9672,61.0743,nan,nan,nan,nan,nan,nan,nan,15.7556,0.006231,1.300986,0.0052
51,6.956,61.0993,0.4361,0.0118,2.342,-1.953,0.01,-1.292,0.01,12.265013,0.002763,0.509643,0.0048
52,6.9658,61.0885,0.2308,0.103,0.751,-0.667,0.09,-0.346,0.089,17.816732,0.002933,1.351932,0.0157
53,6.9468,61.0999,0.328,0.1071,2.11,-1.834,0.094,-1.045,0.095,17.968935,0.002966,1.317864,0.0169
54,6.9683,61.0936,0.4124,0.1651,0.989,-0.747,0.144,0.648,0.164,18.349022,0.003252,1.479467,0.0296
55,6.9418,61.1052,0.7299,0.1026,4.457,-2.221,0.094,-3.865,0.094,17.720991,0.002924,1.471199,0.0182
56,6.9413,61.0998,0.9681,0.1415,2.121,1.358,0.133,1.63,0.142,18.384344,0.003192,1.76865,0.0469
57,6.9516,61.1028,-1.456,0.3066,2.738,0.53,0.287,2.686,0.273,15.547409,0.003738,1.237419,0.0052
58,6.9404,61.099,0.3405,0.0232,2.949,-1.953,0.021,-2.21,0.021,14.876081,0.002767,0.955886,0.0053
59,6.9537,61.0912,0.454,0.0586,2.169,-2.036,0.05,0.747,0.052,16.885937,0.002819,1.316616,0.0076
60,6.9697,61.092,0.4112,0.059,1.787,-1.488,0.052,-0.99,0.053,14.39958,0.00279,1.69772,0.0048
61,6.97,61.0846,0.0841,0.0496,2.389,-2.377,0.043,-0.234,0.045,16.508987,0.002809,1.924317,0.0075
62,6.9277,61.0941,0.0756,0.0823,2.896,-2.894,0.073,-0.099,0.077,17.487123,0.002907,1.770405,0.0129
63,6.9156,61.1,0.4869,0.1182,3.139,-2.229,0.117,-2.211,0.221,17.547499,0.003135,nan,nan
64,6.9047,61.1011,0.1061,0.0762,1.594,-1.347,0.067,0.851,0.067,17.349518,0.002863,1.488274,0.011
65,6.9163,61.1,0.3059,0.0582,2.764,-2.076,0.052,-1.825,0.053,15.828393,0.002836,1.158749,0.0125
66,6.908,61.1169,0.2991,0.3206,7.393,-7.294,0.291,1.207,0.304,16.61208,0.004042,1.244816,0.0095
67,6.912,61.1126,0.1739,0.0772,2.322,-2.095,0.069,-1.001,0.072,17.361864,0.002878,1.158934,0.0152
68,6.922,61.1124,0.5706,0.015,0.949,-0.87,0.014,-0.378,0.013,11.616015,0.002762,0.489305,0.0047
69,6.9252,61.111,0.4528,0.0406,2.279,-2.116,0.036,-0.846,0.036,16.150835,0.002786,1.036433,0.0087
70,6.9118,61.107,0.958,0.0355,3.325,0.288,0.033,-3.312,0.032,15.874485,0.002777,1.487322,0.0059
71,6.9175,61.1065,0.4155,0.044,3.627,-0.208,0.04,-3.621,0.04,16.15657,0.002784,1.05128,0.0074
72,6.9216,61.1057,0.0916,0.0608,1.481,-1.398,0.057,0.488,0.056,16.878166,0.002824,1.946524,0.0122
73,6.9283,61.105,2.8695,0.5267,7.217,-6.748,0.49,2.559,0.474,16.185783,0.007607,1.247505,0.0059
74,6.9592,61.1095,0.3187,0.1222,3.548,-2.703,0.107,-2.299,0.123,18.162325,0.003055,1.861738,0.0229
75,6.9636,61.1097,0.0268,0.1097,2.071,-0.205,0.099,-2.061,0.098,17.903212,0.002964,1.292101,0.0158
76,6.9524,61.1115,0.5292,0.0956,5.533,-5.532,0.082,0.064,0.083,17.719662,0.002899,1.444527,0.018
77,6.9451,61.1058,0.5298,0.0131,2.18,-0.287,0.012,-2.161,0.012,13.255356,0.002768,0.539886,0.0047
78,6.9547,61.1044,0.201,0.1292,3.194,-2.807,0.117,-1.524,0.125,18.18832,0.00303,1.484419,0.019
79,6.9692,61.1048,0.4031,0.044,2.348,-2.265,0.039,0.618,0.039,16.281847,0.002793,1.199493,0.0059
80,6.9498,61.1206,0.3653,0.0139,1.954,-1.647,0.012,-1.052,0.012,13.461021,0.002768,0.466416,0.0048
81,6.9312,61.1226,0.1621,0.1457,1.786,-1.693,0.13,0.569,0.147,18.473394,0.003053,1.473223,0.0318
82,6.9258,61.1222,0.1143,0.1056,2.767,-2.761,0.098,0.19,0.089,17.838917,0.002956,1.385614,0.0166
83,6.9163,61.1198,nan,nan,nan,nan,nan,nan,nan,18.333101,0.005857,nan,nan
84,6.9178,61.1197,1.3437,0.0148,8.843,8.647,0.013,1.851,0.012,10.328426,0.002763,1.528244,0.0047
85,6.9237,61.1196,-0.178,0.1554,0.667,-0.656,0.141,0.122,0.155,18.166285,0.003061,1.399717,0.0341
86,6.9413,61.1261,0.1617,0.0634,3.338,-3.136,0.056,-1.142,0.055,17.001913,0.002826,1.117834,0.0088
87,6.9193,61.1306,0.5436,0.1015,1.634,-1.633,0.09,0.07,0.088,17.875267,0.002908,1.269428,0.0155
88,6.932,61.1294,0.5484,0.0239,3.62,-3.149,0.021,1.785,0.021,14.922311,0.002764,1.181378,0.0051
89,6.9809,61.1281,0.221,0.0234,0.958,-0.931,0.021,0.228,0.021,14.861063,0.002766,1.814545,0.0052
