# File generated by CMD 3.7 (http://stev.oapd.inaf.it/cmd) on Wed Apr 17 12:15:03 UTC 2024
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods are from Trabucchi et al. (2021)
# Photometric system: Gaia EDR3 (all Vegamags, Gaia passbands from ESA/Gaia website)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Gmag    G_BPmag  G_RPmag
0.01 -0.17553 7.00000 0.0900000036 1.0816895926    0.090 -2.023  3.4152  4.028    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.89e-15      0.00 7.230e-01 2.670e-01 1.798e-03 4.851e-04 4.400e-03 -1.000 1.000e-02 9.827 11.750 14.337 10.306
0.01 -0.17553 7.00000 0.0953349397 1.1309119993    0.095 -1.990  3.4187  4.035    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.05e-15      0.00 7.230e-01 2.670e-01 1.798e-03 4.851e-04 4.400e-03 -1.000 1.000e-02 9.746 11.645 14.203 10.206
0.01 -0.17553 7.00000 0.1000000015 1.1711064122    0.100 -1.962  3.4217  4.038    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -4.2e-15      0.00 7.230e-01 2.670e-01 1.798e-03 4.851e-04 4.400e-03 -1.000 1.000e-02 9.674 11.542 14.061 10.111
0.01 -0.17553 7.00000 0.1200000048 1.3193154741    0.120 -1.854  3.4334  4.056    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.82e-15      0.00 7.230e-01 2.670e-01 1.798e-03 4.851e-04 4.400e-03 -1.000 1.000e-02 9.405 11.118 13.448 9.724
0.01 -0.17553 7.00000 0.1363823712 1.4186056000    0.136 -1.772  3.4433  4.069    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.38e-15      0.00 7.230e-01 2.670e-01 1.798e-03 4.851e-04 4.400e-03 -1.000 1.000e-02 9.199 10.795 12.987 9.428
0.01 -0.17553 7.00000 0.1513397843 1.4965842176    0.151 -1.707  3.4506  4.079    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.82e-15      0.00 7.230e-01 2.670e-01 1.798e-03 4.851e-04 4.400e-03 -1.000 1.000e-02 9.037 10.547 12.640 9.202
0.01 -0.17553 7.00000 0.1550784111 1.5145205709    0.155 -1.692  3.4523  4.082    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.93e-15      0.00 7.230e-01 2.670e-01 1.798e-03 4.851e-04 4.400e-03 -1.000 1.000e-02 9.001 10.492 12.560 9.152
0.01 -0.17553 7.00000 0.1574571133 1.5256425513    0.157 -1.683  3.4534  4.083    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -6.04e-15      0.00 7.230e-01 2.670e-01 1.798e-03 4.851e-04 4.400e-03 -1.000 1.000e-02 8.977 10.455 12.508 9.118
0.01 -0.17553 7.00000 0.1709791422 1.5849653049    0.171 -1.630  3.4590  4.089    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -6.51e-15      0.00 7.230e-01 2.670e-01 1.798e-03 4.851e-04 4.400e-03 -1.000 1.000e-02 8.845 10.261 12.236 8.941
0.01 -0.17553 7.00000 0.1857559085 1.6431890647    0.186 -1.577  3.4646  4.095    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1    -7e-15      0.00 7.230e-01 2.670e-01 1.798e-03 4.851e-04 4.400e-03 -1.000 1.000e-02 8.713 10.072 11.978 8.769
