Source,RA_ICRS,DE_ICRS,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,RV,e_RV,GLON,GLAT,Gmag,BP-RP,e_Gmag,e_BP-RP,probs
5294006753822206848,116.9267069706685,-59.97129748599229,2.4444782437898214,0.055782836,-3.8230040485242456,0.07221287,11.327068310437186,0.066137,,,272.4896703867116,-16.650032228935352,17.220561543650028,2.353175636364128,0.003033388123401384,0.02011120127873447,1.0
5290822022691634688,119.84562756982,-60.53975827810098,2.406173263200427,0.010554594,-4.3266457094355575,0.014603057,11.36053507397956,0.013301117,10.732407,3.6584823,273.69734287125107,-15.613690654917509,11.636560669231976,0.6748694464987395,0.0027588879773674767,0.004735529786889106,1.0
5290718084482964992,119.22997037035492,-60.96991773813649,2.4828208566047967,0.039980277,-4.641178017021384,0.051320188,11.626198032745007,0.049038455,,,273.9487864936844,-16.079512510602864,16.534834434771014,2.0647208146590117,0.0028843995183619165,0.008362555185028687,1.0
5290823981196998784,120.03932518932588,-60.55983837153936,2.370707076820584,0.009733674,-5.055073169034719,0.013770894,11.0285631746888,0.013337584,23.445436,2.213122,273.7621284963665,-15.539002570019004,13.133639806575973,0.9380297519786325,0.002774481551782166,0.00491961656043246,1.0
5290718118842704768,119.25280642551952,-60.95820315635586,2.4521091292824804,0.017471807,-4.379974748762711,0.02179781,10.81998394613412,0.021279136,28.233957,3.8001342,273.9432446072081,-16.064290144549325,14.848411260618436,1.3789261544230964,0.0027754023445596254,0.00527037035415629,1.0
5290823671959351936,120.02574740163452,-60.58826231288568,2.433408518231232,0.01376168,-5.251464366904889,0.020164093,11.28791953989982,0.018537274,24.7874,3.7714632,273.7849136857272,-15.558252466688316,14.236923733945124,1.1920334493727935,0.0027786503934573658,0.005135093187719897,1.0
5290823671959351808,120.0147338030398,-60.58199896841653,2.490005436940758,0.059393767,-5.170389023364862,0.08943355,11.188959638237131,0.076462,,,273.7765361449788,-15.560083955449114,17.282527957407034,2.2693572958720836,0.0028914238890112363,0.016599739012448243,1.0
5293999576934426240,116.92949097165996,-60.16843374980538,2.491968338015612,0.012848466,-4.093955629805444,0.016669523,11.659684968164711,0.015286049,14.448734,3.9575098,272.6757880572346,-16.73419071560001,9.959753262489194,0.23682544707408937,0.0027754218943739977,0.004724803194822225,1.0
5290823671959351296,120.01014424893624,-60.58704713339661,2.4909578565853088,0.05533394,-4.201077241071838,0.08345224,10.5849868918541,0.07232085,,,273.7800627598662,-15.564445508574249,17.137425670208486,2.2842715123898785,0.0032332346689305435,0.02008817570649652,1.0
5291542408965073024,120.13640366843046,-58.866676322775405,2.375943356870363,0.013377877,-3.986950391364653,0.017052231,10.649667944960534,0.016429266,16.363874,4.13851,272.2418116010084,-14.693384613802396,9.585044551459262,0.15478284709966594,0.0027654544927302313,0.004736455258432805,1.0
