# Synthetic cluster MASSCLEAN parameters:
# M = 500 Mo
# z = 0.008
# log(age) = 8.0
# Av = 1.0 / E(B-V) = 0.32
# d = 3 kpc / d_m = 12.39
#
# id  x  y  V  eV  BV  eBV
19  993.377260  1042.679337  21.816818  0.255547  0.981000  0.300288
119  1088.674222  1060.970557  20.916425  0.357216  1.226702  0.281446
122  877.503017  955.471176  21.701201  0.203682  1.315585  0.142329
128  1150.219469  932.361667  21.245967  0.203030  1.394650  0.121401
130  1182.135747  1094.692229  21.156191  0.194620  1.257539  0.143233
132  886.520279  1104.709878  21.132075  0.336054  1.681114  0.199814
138  1029.112300  1000.467517  21.194613  0.206539  1.413756  0.240086
141  980.450120  1095.397786  21.134061  0.166210  1.511626  0.412307
143  940.488888  1009.893110  21.080402  0.285712  1.506456  0.221573
144  1077.943480  1108.415345  20.961738  0.139351  1.290658  0.275495
146  1090.192302  909.747077  20.846190  0.168325  1.612920  0.114475
149  968.012288  889.415680  20.981250  0.143051  1.527375  0.152892
150  866.594755  1064.069775  20.696469  0.106490  1.618750  0.292178
151  963.893023  1072.658391  20.553457  0.194189  1.210085  0.124569
154  1126.067036  1022.589706  20.500986  0.165205  1.112916  0.126284
155  1050.045665  1172.722770  20.299019  0.114585  1.252874  0.096135
156  972.016620  1145.889321  20.286073  0.147204  1.336031  0.087207
157  1079.674962  1020.002509  20.389304  0.105265  1.161705  0.099613
158  1041.328374  1105.193370  20.497655  0.121277  1.192850  0.125395
159  962.932654  928.474112  20.408484  0.168483  1.284574  0.358522
160  1227.643761  904.004014  20.302042  0.152202  0.883286  0.224027
161  930.440847  998.679511  20.228970  0.207044  1.072069  0.116016
162  976.709816  918.676193  20.024720  0.256943  1.276064  0.250133
163  1048.977428  1218.113700  20.195887  0.166650  1.249098  0.155970
164  913.950228  1231.400858  20.247974  0.091023  1.247491  0.092969
165  1058.505318  998.416568  20.339274  0.101338  1.572605  0.353428
166  1103.866388  1025.995059  20.230725  0.199528  1.260005  0.080252
167  1078.623846  1097.871585  20.122703  0.134980  1.301704  0.240335
168  1032.872079  982.721741  20.110368  0.314745  1.741478  0.257866
169  985.994301  1055.224320  19.959761  0.200050  1.273354  0.184108
170  922.977731  1023.222702  19.904856  0.148560  1.413487  0.110322
171  1034.641244  968.236380  20.040896  0.136863  1.204434  0.093883
172  989.329490  1099.447685  19.855397  0.139596  1.215094  0.163969
173  1038.334874  982.486139  19.773905  0.082190  1.146594  0.116262
174  1006.817935  906.840986  19.611421  0.195675  1.097651  0.105361
175  1022.148710  835.894231  19.574145  0.102205  1.086496  0.079710
176  1134.076908  1125.504758  19.436181  0.070414  0.998790  0.222780
177  1038.686843  1018.987868  19.539959  0.072972  1.183997  0.070601
178  878.999081  1022.050447  19.644877  0.150480  1.186772  0.113337
179  964.195246  1026.875146  19.323511  0.111397  0.967579  0.134400
180  933.039800  913.851228  19.206051  0.143389  1.161904  0.155772
181  911.926497  1115.246449  19.417895  0.079258  1.115076  0.131099
182  952.572293  1045.911982  19.322036  0.090943  1.172765  0.109809
183  962.104422  1134.445548  19.348239  0.090004  1.339266  0.105930
184  1005.198787  838.361641  19.394594  0.092719  1.342181  0.139590
185  996.999250  889.359196  19.242208  0.110084  1.081297  0.219460
186  918.953595  1146.564997  19.071503  0.137124  1.157978  0.139142
187  912.194806  950.933832  19.247111  0.100807  1.045698  0.074300
188  1055.236772  1083.244278  19.193342  0.068259  1.101780  0.067524
189  1013.419028  1197.503058  18.929588  0.097332  1.055827  0.082163
190  846.097777  1023.803494  18.938744  0.094689  1.073815  0.072769
191  965.382861  1073.577923  18.744424  0.055542  0.894516  0.054816
192  1009.084477  780.126106  18.802512  0.116273  0.983101  0.163943
193  1001.074094  1176.249979  18.712705  0.151994  0.960587  0.055819
194  970.586890  1049.654047  18.710406  0.077501  0.928005  0.074422
195  1009.854996  1035.721482  18.768626  0.053355  0.904660  0.111159
196  926.732493  1002.163630  18.707985  0.203954  0.972155  0.064898
197  1060.357038  920.058880  18.906715  0.109100  0.910817  0.127352
198  1106.650194  962.203894  18.746156  0.089664  1.039240  0.122589
199  1022.017700  939.867607  18.633165  0.099328  1.142298  0.113987
1100  1034.957189  970.370601  18.409609  0.084259  0.971578  0.056828
1101  1082.080993  982.714737  18.336119  0.049473  0.873331  0.057906
1102  1014.584730  1025.435873  18.320750  0.067702  0.785358  0.049161
1103  1037.712179  980.967301  18.305127  0.092162  0.816939  0.098322
1104  1114.459320  1006.837903  18.082810  0.081922  0.853146  0.064283
1105  1057.385042  1100.535337  18.168346  0.115534  0.732129  0.076797
1106  1120.441938  1086.318244  17.968217  0.060507  0.882364  0.076705
1107  1020.166369  980.638700  18.111186  0.051111  0.696469  0.102788
1108  962.902856  1086.775194  17.999092  0.062655  0.806818  0.067485
1109  970.002985  1020.285583  17.877263  0.044076  0.820824  0.054726
1110  1060.118508  999.027692  17.731481  0.045474  0.783880  0.056353
1111  951.162307  1008.810947  17.608918  0.087702  0.723975  0.092026
1112  826.317046  1024.174756  17.700483  0.039360  0.526771  0.072307
1113  1054.238454  978.928312  17.616899  0.157365  0.709080  0.095849
1114  980.365619  1083.815526  17.434514  0.079375  0.743849  0.048932
1115  925.638636  1045.555159  17.581223  0.058503  0.837447  0.043440
1116  919.394488  1033.726218  17.410111  0.060123  0.611766  0.075306
1117  1020.969636  971.766804  17.413736  0.126787  0.756257  0.037162
1118  903.386235  1000.576389  17.321962  0.049152  0.727319  0.058574
1119  966.298542  1002.133033  17.283675  0.101621  0.638954  0.118378
1120  1068.335022  952.548618  17.074261  0.067868  0.738103  0.090907
1121  1053.350072  1107.559895  16.976563  0.085641  0.732963  0.087900
1122  1058.259497  827.609907  17.101268  0.064742  0.653014  0.057809
1123  938.937508  1054.596424  16.998428  0.058136  0.633987  0.041030
1124  982.202102  1089.710080  16.900310  0.042594  0.527202  0.084393
1125  1025.426104  885.341245  16.661227  0.092544  0.662871  0.044716
1126  940.897526  965.607158  16.687240  0.033765  0.622822  0.061833
1127  1013.118034  1118.304276  16.721106  0.033808  0.624395  0.033984
1128  1076.736123  1126.781194  16.625874  0.033193  0.690820  0.052806
1129  1143.818445  1020.503695  16.557741  0.043319  0.616803  0.058174
1130  1109.460972  1048.487526  16.358690  0.044793  0.387758  0.075525
1131  1007.522836  1016.260997  16.382292  0.053337  0.455117  0.051437
1132  1071.044444  1143.744696  16.265840  0.045586  0.526592  0.046114
1133  1157.203804  1146.561065  16.203135  0.035629  0.398169  0.078303
1134  1032.293765  1148.449300  16.084643  0.032771  0.521188  0.033060
1135  1026.094592  985.262408  16.041999  0.047362  0.439242  0.082870
1136  1046.332948  954.619802  16.006098  0.062920  0.416152  0.047239
1137  1139.064115  1189.016986  15.882278  0.041543  0.437339  0.053608
1138  962.168934  864.173425  15.817230  0.046017  0.417923  0.034454
1139  988.197888  963.949220  15.757949  0.032428  0.434725  0.067478
1140  888.455639  1002.790871  15.690431  0.088218  0.482858  0.044552
1141  929.486930  1022.702326  15.667368  0.034269  0.360153  0.055977
1142  937.636372  1175.222559  15.544191  0.073819  0.377166  0.045383
1143  1039.364669  1075.582054  15.563016  0.040527  0.364135  0.031716
1144  1084.338708  1027.697664  15.331294  0.040953  0.323520  0.041397
1145  1095.480136  1008.181002  15.370421  0.029886  0.370399  0.036033
1146  918.621614  1048.544297  15.270095  0.039772  0.309333  0.033419
1147  947.761295  1045.485179  15.187467  0.043728  0.296765  0.042047
1148  1107.301642  958.567731  15.149061  0.028813  0.299969  0.031731
1149  870.350684  1108.539003  15.064021  0.036913  0.266006  0.028121
1150  1064.516137  1159.925064  14.994990  0.039317  0.298258  0.034882
1151  1025.880371  978.258207  14.931476  0.038611  0.311628  0.035903
1152  1110.201815  1138.326774  14.808416  0.043521  0.220203  0.030923
1153  999.370691  1169.097216  14.724918  0.030514  0.273456  0.024632
1154  1018.699080  925.510963  14.736322  0.032988  0.288964  0.050091
1155  1066.054656  1059.997594  14.667192  0.052394  0.272808  0.046254
1156  1246.170808  994.407588  14.512262  0.031719  0.204556  0.051393
1157  928.463258  1000.804291  14.430949  0.042552  0.126590  0.055277
1158  866.955059  986.634035  14.243454  0.036646  0.203881  0.025845
1159  1178.963292  918.640865  14.244428  0.031015  0.225964  0.024695
1160  1022.014034  917.584671  14.154293  0.021610  0.210206  0.027874
1161  1005.123441  890.542223  13.896774  0.034084  0.197147  0.026683
1162  1164.842476  1004.041298  13.824027  0.032017  0.209669  0.022925
1163  1181.631590  1003.793736  13.683262  0.032166  0.191114  0.041681
1164  995.843113  1074.239324  13.563716  0.020058  0.158099  0.070098
1165  1062.856540  930.619965  13.196298  0.062055  0.197829  0.037042
1166  849.913139  1097.748644  13.248700  0.033652  0.155043  0.046693
1167  930.274816  992.562401  12.859798  0.068087  0.176815  0.041068
1168  1028.710093  1029.610660  12.502991  0.041868  0.155966  0.029252
1169  1024.592773  957.282550  12.086826  0.019536  0.141872  0.022452
1170  1184.099123  1041.682268  10.344216  0.018164  1.506988  0.020833
20  834.208495  1785.292422  9.295095  0.044570  1.153440  0.019289
21  1897.715223  1203.843649  10.502481  0.034269  1.470109  0.024564
22  1904.846927  57.502519  9.000861  0.026737  0.304934  0.020879
23  35.435509  1747.338326  9.334911  0.028731  0.244907  0.016158
24  286.170986  1902.949762  11.410739  0.022339  1.567291  0.020676
25  1851.712535  1588.453225  12.386435  0.029351  2.099474  0.030921
26  1190.644757  43.269010  9.463628  0.017795  0.114062  0.045972
27  1962.633792  1058.398545  10.455566  0.017570  0.857558  0.024884
28  982.483680  1513.323842  10.971531  0.025875  1.068414  0.038195
29  582.417827  253.615794  10.057773  0.016200  0.417760  0.018694
210  566.828330  1312.497670  9.579689  0.026786  -0.035109  0.025726
211  1039.329826  675.021966  10.087812  0.046185  0.156842  0.020940
212  1672.413251  410.385777  13.485762  0.035855  1.999029  0.026323
213  1689.458059  1239.378591  10.421531  0.038289  0.112598  0.027500
214  815.792217  246.169681  10.367428  0.028147  -0.108182  0.034380
215  961.602925  94.295067  10.981926  0.033803  0.287569  0.024563
216  1728.853491  1112.615031  10.261743  0.031826  -0.217691  0.029460
217  1650.789477  1227.153004  11.010094  0.017781  0.129696  0.044251
218  111.798905  2020.078919  13.168817  0.038509  0.981649  0.020313
219  31.508032  674.957644  15.065612  0.052247  2.047318  0.061234
220  1915.612603  1125.651593  14.146328  0.043783  1.647909  0.035126
221  583.399209  1565.829033  13.947244  0.027670  1.581596  0.045170
222  213.793916  76.761802  11.912037  0.034575  0.290549  0.031904
223  280.728166  1995.988285  15.029778  0.029464  1.897112  0.040253
224  270.171483  1014.387613  12.320271  0.038973  0.273322  0.038152
225  1417.713184  471.975009  13.384032  0.036248  1.040541  0.028948
226  543.930190  2016.426198  11.660523  0.021796  0.155227  0.023691
227  899.148973  470.572535  14.028865  0.058411  1.420250  0.035226
228  1404.645493  1610.275107  13.291739  0.046309  0.883181  0.025353
229  128.572622  1314.554211  13.846437  0.027658  0.879580  0.025853
230  1615.505836  736.971133  14.780308  0.032848  1.287704  0.048672
231  1509.707757  899.644808  12.287737  0.018248  -0.023120  0.023601
232  1940.561240  293.403517  13.052130  0.025483  0.644813  0.033477
233  291.515835  1759.395517  11.411709  0.023305  -0.437425  0.017461
