# id  x  y  V  eV  BV  eBV
10  1144.120115  947.338691  21.895053  0.212345  2.077213  0.235758
11  999.580856  1046.189343  22.452091  0.372074  2.167096  0.524282
13  1069.375816  980.174152  21.943692  0.196137  1.535044  0.302329
15  1092.045414  837.788140  21.922758  0.297393  1.343981  0.209515
17  1137.877340  1112.758886  22.123549  0.364264  1.947979  0.159579
19  1041.554862  1147.044884  22.094618  0.329220  1.824072  0.241781
120  1119.446794  1002.576015  21.295609  0.250548  1.965735  0.267475
122  1008.350065  1029.529088  21.736766  0.138650  1.861328  0.128018
124  913.815204  1201.920082  21.704750  0.220243  1.707454  0.159768
125  976.005304  969.160192  21.457901  0.174876  1.596278  0.182292
129  954.418770  1152.699064  21.439722  0.468630  1.417567  0.185560
130  962.448220  997.756068  21.352909  0.127100  1.635092  0.264487
135  1044.542423  942.432973  21.273174  0.224770  1.503493  0.146608
141  1013.398446  1009.418097  20.864681  0.131659  1.528527  0.138600
143  1081.636700  1004.859617  21.042865  0.129173  1.100578  0.332910
144  937.335419  1047.713587  20.965829  0.127711  1.892219  0.301725
145  894.255636  1176.951767  21.026322  0.108749  1.864851  0.147391
146  1030.174249  1069.174272  20.875093  0.126688  1.828157  0.228242
147  1004.679209  964.455055  20.957967  0.396146  1.749044  0.143945
148  1057.341501  873.526477  20.915421  0.166071  1.808395  0.103362
149  995.445903  1057.295155  20.664334  0.227460  1.655521  0.164796
150  1012.406661  1020.757320  20.889523  0.174794  1.449583  0.115372
152  1110.646456  996.352348  20.599532  0.148808  1.568908  0.152052
153  1113.727365  946.503229  20.620786  0.162344  1.760599  0.135834
154  892.548239  1007.667446  20.858660  0.153478  1.705695  0.203337
155  957.774336  1128.331162  20.702427  0.195748  1.397301  0.166409
156  1227.529093  1136.866427  20.717505  0.104284  1.556967  0.213485
157  1017.505628  1143.805112  20.638241  0.120856  1.781077  0.216974
158  1096.304640  1096.070410  20.624768  0.131850  1.856350  0.219792
159  1105.937080  1083.846205  20.402999  0.283695  1.756840  0.108067
161  1156.809523  948.505764  20.616416  0.228398  1.639022  0.095659
162  941.480407  1138.672845  20.436308  0.101420  1.677025  0.123638
163  1115.150684  1030.705623  20.236386  0.158403  1.596743  0.243017
164  1025.721160  942.859080  20.499986  0.151893  1.742992  0.169615
165  1067.380961  955.467121  20.567534  0.109291  1.589839  0.097433
166  1063.817318  958.534185  20.431573  0.096273  1.763145  0.228793
167  1032.611717  1027.461366  20.325487  0.099413  1.487617  0.191727
168  946.238259  985.888399  20.292776  0.145716  1.236452  0.231412
169  1074.463478  1010.364129  20.218889  0.139710  1.574961  0.091197
170  1018.229780  1002.008740  20.069854  0.078075  1.117774  0.256146
171  941.615718  1013.686292  20.008907  0.130873  1.492039  0.133073
172  1064.312996  1105.736253  19.983585  0.087116  1.853884  0.185923
173  1104.249405  1046.167921  19.780512  0.133346  1.749180  0.136477
174  973.540639  1008.533094  19.994618  0.106108  1.547441  0.130383
175  1133.280236  1042.954097  19.894865  0.089291  1.440506  0.234458
176  1094.177567  1076.349911  19.619423  0.149686  1.661306  0.102653
177  1058.540401  1198.242222  19.707498  0.134611  1.650357  0.177681
178  1147.032740  1085.835305  19.737843  0.106044  1.747758  0.092373
179  1009.691095  1146.985554  19.888252  0.094688  1.487560  0.108081
180  1072.224154  1038.185615  19.808360  0.079887  1.501594  0.167804
181  1060.016947  1123.333038  19.478004  0.110771  1.649661  0.136057
182  977.475277  1026.179912  19.707203  0.144096  1.526362  0.099097
183  918.537175  1005.827645  19.599327  0.105990  1.535825  0.124392
184  1122.437612  1195.698708  19.658728  0.124074  1.591870  0.069451
185  935.891415  1027.751711  19.260539  0.175027  1.572460  0.075630
186  906.912276  1040.456233  19.268936  0.093295  1.567309  0.109466
187  886.859858  1194.627564  19.255528  0.125833  1.578262  0.078727
188  937.443451  950.091715  19.036518  0.135328  1.802804  0.108569
189  1116.044882  1122.241802  18.973479  0.152364  1.425486  0.107979
190  939.106755  939.977871  19.076878  0.074927  1.510825  0.097099
191  928.882688  1040.593080  19.189023  0.192898  1.451131  0.056720
192  1049.229148  1112.966287  19.003395  0.105906  1.313884  0.153146
193  1069.156127  1013.479076  18.749225  0.062823  1.385680  0.053070
194  1099.086868  1097.670369  18.820919  0.058122  1.490345  0.065253
195  1049.198019  1103.504138  18.871767  0.064083  1.392536  0.164434
196  1012.161802  1008.776397  18.705339  0.060121  1.517922  0.067856
197  1061.543199  1018.496020  18.496047  0.116146  1.330456  0.142802
198  976.813875  942.187868  18.582250  0.070518  1.378596  0.085081
199  1054.074880  1162.166129  18.458739  0.051377  1.406939  0.052895
1100  1096.839680  996.985631  18.309818  0.053794  1.260221  0.073499
1101  1038.508564  1010.296504  18.311172  0.055551  1.367972  0.093256
1102  1084.139704  1022.473503  18.081662  0.094200  1.376315  0.070780
1103  1121.453937  1104.881664  18.168987  0.085088  1.301701  0.058462
1104  868.298547  999.509934  18.011223  0.062310  1.426753  0.061329
1105  1101.696143  1250.103030  17.979659  0.078524  1.330467  0.057723
1106  1047.494922  990.152520  18.039613  0.119868  1.272569  0.063539
