# Synthetic cluster MASSCLEAN parameters:
# z = 0.008
# log(age) = 8.0
# Av = 1.0 / E(B-V) = 0.32
# d = 3 kpc / d_m = 12.39
# M = 500 Mo
#
#id   x         y         V      eV    BV     eBV
19    993.38    1042.68   21.82  0.26  0.98   0.30
119   1088.67   1060.97   20.92  0.36  1.23   0.28
122   877.50    955.47    21.70  0.20  1.32   0.14
128   1150.22   932.36    21.25  0.20  1.39   0.12
130   1182.14   1094.69   21.16  0.19  1.26   0.14
132   886.52    1104.71   21.13  0.34  1.68   0.20
138   1029.11   1000.47   21.19  0.21  1.41   0.24
141   980.45    1095.40   21.13  0.17  1.51   0.41
143   940.49    1009.89   21.08  0.29  1.51   0.22
144   1077.94   1108.42   20.96  0.14  1.29   0.28
146   1090.19   909.75    20.85  0.17  1.61   0.11
149   968.01    889.42    20.98  0.14  1.53   0.15
150   866.59    1064.07   20.70  0.11  1.62   0.29
151   963.89    1072.66   20.55  0.19  1.21   0.12
154   1126.07   1022.59   20.50  0.17  1.11   0.13
155   1050.05   1172.72   20.30  0.11  1.25   0.10
156   972.02    1145.89   20.29  0.15  1.34   0.09
157   1079.67   1020.00   20.39  0.11  1.16   0.10
158   1041.33   1105.19   20.50  0.12  1.19   0.13
159   962.93    928.47    20.41  0.17  1.28   0.36
160   1227.64   904.00    20.30  0.15  0.88   0.22
161   930.44    998.68    20.23  0.21  1.07   0.12
162   976.71    918.68    20.02  0.26  1.28   0.25
163   1048.98   1218.11   20.20  0.17  1.25   0.16
164   913.95    1231.40   20.25  0.09  1.25   0.09
165   1058.51   998.42    20.34  0.10  1.57   0.35
166   1103.87   1026.00   20.23  0.20  1.26   0.08
167   1078.62   1097.87   20.12  0.13  1.30   0.24
168   1032.87   982.72    20.11  0.31  1.74   0.26
169   985.99    1055.22   19.96  0.20  1.27   0.18
170   922.98    1023.22   19.90  0.15  1.41   0.11
171   1034.64   968.24    20.04  0.14  1.20   0.09
172   989.33    1099.45   19.86  0.14  1.22   0.16
173   1038.33   982.49    19.77  0.08  1.15   0.12
174   1006.82   906.84    19.61  0.20  1.10   0.11
175   1022.15   835.89    19.57  0.10  1.09   0.08
176   1134.08   1125.50   19.44  0.07  1.00   0.22
177   1038.69   1018.99   19.54  0.07  1.18   0.07
178   879.00    1022.05   19.64  0.15  1.19   0.11
179   964.20    1026.88   19.32  0.11  0.97   0.13
180   933.04    913.85    19.21  0.14  1.16   0.16
181   911.93    1115.25   19.42  0.08  1.12   0.13
182   952.57    1045.91   19.32  0.09  1.17   0.11
183   962.10    1134.45   19.35  0.09  1.34   0.11
184   1005.20   838.36    19.39  0.09  1.34   0.14
185   997.00    889.36    19.24  0.11  1.08   0.22
186   918.95    1146.56   19.07  0.14  1.16   0.14
187   912.19    950.93    19.25  0.10  1.05   0.07
188   1055.24   1083.24   19.19  0.07  1.10   0.07
189   1013.42   1197.50   18.93  0.10  1.06   0.08
190   846.10    1023.80   18.94  0.09  1.07   0.07
191   965.38    1073.58   18.74  0.06  0.89   0.05
192   1009.08   780.13    18.80  0.12  0.98   0.16
193   1001.07   1176.25   18.71  0.15  0.96   0.06
194   970.59    1049.65   18.71  0.08  0.93   0.07
