EDR3Name,RA_ICRS,DE_ICRS,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,Gmag,e_Gmag,BP-RP,e_BP-RP
Gaia EDR3 522654746355354368,16.74823386268,62.10523416224,1.1573,0.0574,-4.225,0.048,-1.376,0.058,16.744463,0.002914,1.98279,0.010177154666709
Gaia EDR3 522654746355354496,16.75910554932,62.10478982878,0.2609,0.0441,-1.252,0.038,-0.138,0.045,16.33854,0.002793,1.700288,0.007527222386544
Gaia EDR3 522654948208393856,16.72767061427,62.10424539807,0.1493,0.1149,-1.18,0.099,-0.103,0.125,18.093025,0.002976,1.810612,0.022746800856798
Gaia EDR3 522654948208412544,16.72098373812,62.11240210009,0.1928,0.0979,-1.625,0.084,0.293,0.109,17.75333,0.002914,2.714373,0.032241244852726
Gaia EDR3 522654952513783552,16.72898679006,62.11133675943,0.3312,0.0603,-2,0.05,-0.478,0.059,16.993147,0.00282,1.67173,0.008630149082735
Gaia EDR3 522654952513783808,16.72030558132,62.10829127356,0.4443,0.1262,0.403,0.106,-0.444,0.139,18.287071,0.003028,1.966846,0.026150803711153
Gaia EDR3 522654986873521280,16.68448532371,62.11322153931,0.2107,0.0921,-1.974,0.079,-0.193,0.097,17.76658,0.002938,1.955099,0.01664112595642
Gaia EDR3 522655016927924736,16.69386183322,62.12604080623,1.5469,0.1393,5.292,0.108,4.182,0.146,18.44161,0.003084,2.746345,0.053515208737414
Gaia EDR3 522655021233258368,16.69282474459,62.12981591938,0.3381,0.03,-1.495,0.024,0.024,0.03,15.58791,0.002785,2.540625,0.006955140244951
Gaia EDR3 522655021233258624,16.70329136611,62.12517107166,0.4725,0.1734,0.202,0.143,0.466,0.187,18.838709,0.003249,2.164198,0.058415931454215
Gaia EDR3 522659831596633984,16.83523090301,62.10012644704,0.2058,0.0492,-2.224,0.043,1.622,0.05,16.525255,0.0028,2.529371,0.00890685314386
Gaia EDR3 522659831596730880,16.83785562223,62.10119699133,0.5916,0.0965,-0.24,0.085,-1.003,0.095,17.735544,0.002898,2.034838,0.019202543927983
Gaia EDR3 522659865956469504,16.86559672469,62.10235524722,0.1754,0.0325,-2.244,0.026,-0.496,0.031,15.527079,0.002773,1.703186,0.005439364338309
Gaia EDR3 522659896010719616,16.88811026126,62.10700837416,0.1748,0.156,0.123,0.129,0.51,0.15,18.551323,0.003118,2.137068,0.042742904796373
Gaia EDR3 522659896010732672,16.88128626394,62.11299903464,0.331,0.1285,-1.192,0.106,-0.577,0.118,18.144766,0.003028,2.467079,0.029158538749395
Gaia EDR3 522659900316206592,16.88818467799,62.10803955254,1.3471,0.1146,2.996,0.094,-1.176,0.112,18.06786,0.002974,2.218229,0.031076704975416
Gaia EDR3 522659900316207232,16.88043698441,62.10461384256,0.2717,0.1428,-0.796,0.118,-1.015,0.139,18.41548,0.003066,2.43226,0.048398177759109
Gaia EDR3 522659930370460160,16.84957071265,62.10763951954,0.1239,0.186,-1.578,0.152,-0.084,0.178,18.686989,0.003189,2.055223,0.051605292029874
Gaia EDR3 522659930370472576,16.84183890716,62.11245272557,0.1919,0.1221,-0.235,0.102,0.603,0.113,18.072859,0.002948,1.930079,0.023279467406424
Gaia EDR3 522659930371640832,16.83063155018,62.113246414,0.6431,0.1642,3.427,0.139,-0.809,0.149,12.411102,0.002778,1.140207,0.004742664882864
Gaia EDR3 522659934669554432,16.83184093783,62.11381241687,0.603,0.1244,-1.531,0.116,-0.264,0.11,17.941101,0.004759,1.360767,0.143060811100061
Gaia EDR3 522659934675846784,16.83014265296,62.11619480787,1.4138,0.0148,-3.932,0.012,-3.242,0.014,11.850683,0.002761,0.623227,0.004735079627382
Gaia EDR3 522659934675941760,16.83786720853,62.11561922154,0.7577,0.0566,-0.233,0.047,-1.901,0.058,16.802433,0.002833,1.788795,0.009321186203812
Gaia EDR3 522659934675942912,16.83473575067,62.11237170992,0.3627,0.0201,-2.12,0.017,-0.455,0.02,14.467545,0.002766,1.089399,0.004914871520643
Gaia EDR3 522659934675943424,16.84055730042,62.11093897815,0.5462,0.0549,-1.418,0.045,-0.152,0.055,16.729391,0.002808,1.901931,0.009748774955988
Gaia EDR3 522659964730207232,16.86068546626,62.11192186587,0.4081,0.1538,-0.931,0.129,1.341,0.146,18.445715,0.003097,2.169443,0.027001853370686
Gaia EDR3 522659969035681152,16.86251467879,62.11428631501,0.405,0.0572,-3.306,0.048,-1.329,0.058,16.74836,0.00283,2.403937,0.009596084491579
Gaia EDR3 522660273967886080,16.8770597309,62.12637717243,-0.0843,0.1676,-1.794,0.143,-1.161,0.158,18.737528,0.003274,2.132719,0.057902123576276
Gaia EDR3 522660278267231744,16.88710566989,62.11580746414,1.593,0.1587,-4.211,0.195,-2.925,0.248,16.579197,0.004929,,
Gaia EDR3 522660278273326080,16.8874339531,62.11593712184,1.2728,0.0138,-4.004,0.012,-2.952,0.014,13.116742,0.002767,1.260578,0.004811311780886
Gaia EDR3 522660308327626112,16.90161494868,62.12701489195,0.5219,0.1018,-1.618,0.083,-1.305,0.099,17.760832,0.002917,1.75692,0.015477321608699
