EDR3Name,_x,_y,RA_ICRS,DE_ICRS,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,Gmag,e_Gmag,BP-RP,e_BP-RP
Gaia EDR3 2014568605062751232,0.214767,-0.249308,344.02036909585,60.5649810938,0.4603,0.2579,-6.638,0.283,-2.512,0.257,19.556337,0.004207,2.881804,0.11542699960119202
Gaia EDR3 2014568738202100480,0.244777,-0.249149,344.08143475444,60.56492659962,0.628,0.1766,0.506,0.189,-2.992,0.175,19.001076,0.003434,2.475861,0.06620786835733695
Gaia EDR3 2014568910000812288,0.238292,-0.243082,344.06833088256,60.57104259557,1.7178,0.2544,6.316,0.28,-0.802,0.261,19.505701,0.00411,2.548449,0.11008584373056032
Gaia EDR3 2014568914299273600,0.238102,-0.24931,344.06785129156,60.5648155754,2.1398,0.2111,-5.401,0.231,13.093,0.212,19.340189,0.003951,2.825647,0.10335940546045677
Gaia EDR3 2014568944360559872,0.244058,-0.240941,344.08009805903,60.57314029745,1.367,0.2113,4.747,0.235,4.337,0.216,19.366072,0.003822,2.559507,0.08226659789429043
Gaia EDR3 2014568944360560000,0.242557,-0.240936,344.07704371131,60.5731562514,0.7782,0.251,-1.067,0.281,-2.481,0.254,19.535883,0.004131,2.66499,0.12008109158170882
Gaia EDR3 2014568944360589440,0.246634,-0.232165,344.08547746241,60.58189583852,0.0483,0.3282,-1.853,0.368,-0.577,0.347,19.838268,0.004711,2.851009,0.1444658151621521
Gaia EDR3 2014568948659010944,0.248475,-0.230613,344.08925068482,60.58343368357,0.9533,0.1594,-3.347,0.173,-4.081,0.166,16.958063,0.004543,2.233761,0.013944528677477402
Gaia EDR3 2014568978720307328,0.232934,-0.23822,344.05749840317,60.57594327176,0.8096,0.1275,-8.693,0.14,-5.885,0.128,18.53926,0.003216,2.409283,0.06465538931360147
Gaia EDR3 2014568978720333312,0.231515,-0.230781,344.0547189345,60.58339217513,0.7273,0.2211,-3.848,0.239,-1.165,0.224,19.413485,0.003955,3.159363,0.10276732221299359
Gaia EDR3 2014569013080089728,0.238414,-0.226587,344.06882636626,60.58753586971,0.3303,0.1487,-1.166,0.161,-3.011,0.158,18.463545,0.003668,2.559412,0.06514860592911306
Gaia EDR3 2014569013080118912,0.244969,-0.219453,344.08228475803,60.59462054537,0.8489,0.1677,-6.613,0.181,-6.69,0.165,18.970362,0.003443,2.532568,0.06876972915422633
Gaia EDR3 2014569017374857344,0.243239,-0.224205,344.07868850341,60.58988219155,1.8045,0.1587,2.392,0.163,-14.428,0.167,18.717922,0.005868,1.314026,0.11041581854254844
Gaia EDR3 2014569017378486528,0.242524,-0.223979,344.0772350603,60.59011353366,1.8108,0.0269,2.812,0.03,-14.189,0.028,13.466739,0.002759,1.097933,0.004759639364584644
Gaia EDR3 2014569017378486912,0.24338,-0.226847,344.0789347815,60.58723839736,1.1926,0.0327,-5.173,0.036,-6.844,0.034,16.005514,0.002828,1.48606,0.007454991467001789
Gaia EDR3 2014577396856154368,-0.061669,-0.248368,343.45785461717,60.56657659046,1.2998,0.1398,-6.16,0.134,-1.334,0.133,18.208199,0.003512,2.121775,0.02332856957709601
Gaia EDR3 2014577396856154496,-0.066794,-0.247935,343.4474241403,60.56700009899,0.5967,0.1619,-4.077,0.161,-3.071,0.154,18.75788,0.003321,2.398399,0.06581381994480522
Gaia EDR3 2014577396856166400,-0.060337,-0.24545,343.46055423798,60.56949764071,0.9632,0.2124,-2.208,0.219,-1.985,0.209,19.045944,0.003708,2.470242,0.06459557030699921
Gaia EDR3 2014577401154305280,-0.053301,-0.249603,343.47488792299,60.56535722714,0.7297,0.0442,0.722,0.042,-2.204,0.04,16.50862,0.002827,1.862232,0.008891169867071861
Gaia EDR3 2014577534295104512,-0.030565,-0.249529,343.52115132492,60.56546016724,0.774,0.2061,-8.045,0.207,-2.137,0.189,19.197935,0.003774,2.249964,0.08221768249134577
Gaia EDR3 2014577538589176064,-0.0212,-0.241936,343.54019851772,60.57306147972,0.1454,0.3062,-3.914,0.303,-1.604,0.266,19.681665,0.004606,2.386522,0.10895669849584808
Gaia EDR3 2014577538593265920,-0.027454,-0.24891,343.52748094149,60.56608202982,0.4421,0.0655,-3.401,0.065,-2.098,0.063,17.362001,0.002876,1.939026,0.014118086109693461
Gaia EDR3 2014577568654851968,-0.007187,-0.247802,343.56872305062,60.56720152705,0.4342,0.1341,-1.252,0.134,-0.412,0.12,18.576437,0.003281,2.526827,0.06941659332968778
Gaia EDR3 2014577572953009408,-0.014197,-0.248865,343.55445831018,60.56613634186,0.6344,0.0295,0.508,0.029,-2.441,0.027,15.803692,0.002789,1.816743,0.007143837848494791
Gaia EDR3 2014577603014592384,0.002368,-0.24711,343.58816699673,60.56789422418,0.7897,0.2262,-2.567,0.236,-2.262,0.213,19.322319,0.004,2.574276,0.08855471062956241
Gaia EDR3 2014577603014644864,0.005779,-0.232717,343.59511440448,60.58228681795,1.4548,0.2964,-5.733,0.303,2.591,0.277,19.729351,0.004553,2.483803,0.10615295268579533
Gaia EDR3 2014577637374368384,-0.014044,-0.236651,343.55475894825,60.57835015624,-0.0297,0.2508,-2.071,0.254,-1.182,0.203,19.393898,0.004074,2.343519,0.07688067585248748
Gaia EDR3 2014577637374388224,-0.006194,-0.231334,343.57073770677,60.58366934046,0.3437,0.0762,-1.603,0.075,-0.951,0.07,17.477873,0.002964,2.422365,0.019716097858300908
Gaia EDR3 2014577671734114176,-0.004502,-0.234907,343.57418177415,60.58009638887,0.1983,0.2792,-1.761,0.284,-0.685,0.242,19.555853,0.004221,2.723784,0.12867344413916554
Gaia EDR3 2014577671734122496,-0.000567,-0.232223,343.58219300702,60.58278054696,0.0788,0.36,-2.561,0.361,-1.236,0.303,19.871233,0.004757,2.791122,0.14469635391772223
