# File generated by CMD 3.4 (http://stev.oapd.inaf.it/cmd) on Fri Dec  4 22:00:02 CET 2020
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: Gaia EDR3 (all Vegamags, Gaia passbands from ESA/Gaia website)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Age = 1.000000E+07 yr
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Gmag    G_BPmag  G_RPmag
0.0161 0.04159 7.00000 0.0900000036 1.0816895962    0.090 -2.073  3.3951  3.997    0  0.000  0.545     0.00     0.00 -1  -3.6e-15      0.00 7.065e-01 2.773e-01 2.906e-03 7.839e-04 7.109e-03 -1.000 1.616e-02 9.952 11.968 14.509 10.527
0.0161 0.04159 7.00000 0.0913172290 1.0941892862    0.091 -2.064  3.3960  3.999    0  0.000  0.545     0.00     0.00 -1 -3.64e-15      0.00 7.065e-01 2.773e-01 2.906e-03 7.839e-04 7.109e-03 -1.000 1.616e-02 9.930 11.947 14.487 10.505
0.0161 0.04159 7.00000 0.1000000015 1.1711064577    0.100 -2.009  3.4019  4.006    0  0.000  0.545     0.00     0.00 -1 -3.92e-15      0.00 7.065e-01 2.773e-01 2.906e-03 7.839e-04 7.109e-03 -1.000 1.616e-02 9.791 11.808 14.351 10.367
0.0161 0.04159 7.00000 0.1208525300 1.3249083757    0.121 -1.893  3.4141  4.021    0  0.000  0.545     0.00     0.00 -1 -4.57e-15      0.00 7.065e-01 2.773e-01 2.906e-03 7.839e-04 7.109e-03 -1.000 1.616e-02 9.502 11.520 14.068 10.077
0.0161 0.04159 7.00000 0.1339547038 1.4048991203    0.134 -1.827  3.4210  4.028    0  0.000  0.545     0.00     0.00 -1    -5e-15      0.00 7.065e-01 2.773e-01 2.906e-03 7.839e-04 7.109e-03 -1.000 1.616e-02 9.337 11.305 13.797 9.874
0.0161 0.04159 7.00000 0.1405509412 1.4414167404    0.140 -1.798  3.4241  4.032    0  0.000  0.545     0.00     0.00 -1 -5.17e-15      0.00 7.065e-01 2.773e-01 2.906e-03 7.839e-04 7.109e-03 -1.000 1.616e-02 9.266 11.189 13.633 9.768
0.0161 0.04159 7.00000 0.1444519162 1.4619808197    0.144 -1.781  3.4262  4.035    0  0.000  0.545     0.00     0.00 -1 -5.29e-15      0.00 7.065e-01 2.773e-01 2.906e-03 7.839e-04 7.109e-03 -1.000 1.616e-02 9.222 11.116 13.528 9.701
0.0161 0.04159 7.00000 0.1466580182 1.4732934237    0.147 -1.770  3.4273  4.035    0  0.000  0.545     0.00     0.00 -1 -5.39e-15      0.00 7.065e-01 2.773e-01 2.906e-03 7.839e-04 7.109e-03 -1.000 1.616e-02 9.196 11.074 13.467 9.663
0.0161 0.04159 7.00000 0.1582341492 1.5292285681    0.158 -1.720  3.4327  4.040    0  0.000  0.545     0.00     0.00 -1 -5.81e-15      0.00 7.065e-01 2.773e-01 2.906e-03 7.839e-04 7.109e-03 -1.000 1.616e-02 9.071 10.877 13.191 9.482
0.0161 0.04159 7.00000 0.1653686315 1.5611182451    0.165 -1.693  3.4359  4.045    0  0.000  0.545     0.00     0.00 -1 -6.02e-15      0.00 7.065e-01 2.773e-01 2.906e-03 7.839e-04 7.109e-03 -1.000 1.616e-02 9.003 10.769 13.042 9.383
0.0161 0.04159 7.00000 0.1784927398 1.6153539419    0.178 -1.642  3.4420  4.052    0  0.000  0.545     0.00     0.00 -1 -6.46e-15      0.00 7.065e-01 2.773e-01 2.906e-03 7.839e-04 7.109e-03 -1.000 1.616e-02 8.876 10.566 12.760 9.197
0.0161 0.04159 7.00000 0.1927361339 1.6686379910    0.193 -1.592  3.4480  4.059    0  0.000  0.545     0.00     0.00 -1 -6.93e-15      0.00 7.065e-01 2.773e-01 2.906e-03 7.839e-04 7.109e-03 -1.000 1.616e-02 8.749 10.366 12.483 9.015
0.0161 0.04159 7.00000 0.2046870440 1.7095420361    0.205 -1.555  3.4522  4.065    0  0.000  0.545     0.00     0.00 -1 -7.28e-15      0.00 7.065e-01 2.773e-01 2.906e-03 7.839e-04 7.109e-03 -1.000 1.616e-02 8.657 10.224 12.286 8.884
0.0161 0.04159 7.00000 0.2229171246 1.7662999630    0.223 -1.499  3.4587  4.072    0  0.000  0.545     0.00     0.00 -1 -7.85e-15      0.00 7.065e-01 2.773e-01 2.906e-03 7.839e-04 7.109e-03 -1.000 1.616e-02 8.518 10.011 11.991 8.691
0.0161 0.04159 7.00000 0.2428111583 1.8217298985    0.243 -1.443  3.4652  4.080    0  0.000  0.545     0.00     0.00 -1 -8.49e-15      0.00 7.065e-01 2.773e-01 2.906e-03 7.839e-04 7.109e-03 -1.000 1.616e-02 8.378 9.803 11.709 8.501
0.0161 0.04159 7.00000 0.2615024745 1.8686788082    0.261 -1.396  3.4708  4.087    0  0.000  0.545     0.00     0.00 -1 -9.04e-15      0.00 7.065e-01 2.773e-01 2.906e-03 7.839e-04 7.109e-03 -1.000 1.616e-02 8.261 9.631 11.478 8.343
0.0161 0.04159 7.00000 0.2899467945 1.9323309660    0.290 -1.329  3.4787  4.096    0  0.000  0.545     0.00     0.00 -1  -9.9e-15      0.00 7.065e-01 2.773e-01 2.906e-03 7.839e-04 7.109e-03 -1.000 1.616e-02 8.094 9.389 11.155 8.123
0.0161 0.04159 7.00000 0.3000000119 1.9529139996    0.300 -1.308  3.4813  4.100    0  0.000  0.545     0.00     0.00 -1 -1.02e-14      0.00 7.065e-01 2.773e-01 2.906e-03 7.839e-04 7.109e-03 -1.000 1.616e-02 8.039 9.310 11.048 8.051
0.0161 0.04159 7.00000 0.3094113469 1.9713861942    0.309 -1.289  3.4838  4.104    0  0.000  0.545     0.00     0.00 -1 -1.04e-14      0.00 7.065e-01 2.773e-01 2.906e-03 7.839e-04 7.109e-03 -1.000 1.616e-02 7.991 9.239 10.952 7.988
0.0161 0.04159 7.00000 0.3500000238 2.0434176922    0.350 -1.209  3.4938  4.119    0  0.000  0.545     0.00     0.00 -1 -1.16e-14      0.00 7.065e-01 2.773e-01 2.906e-03 7.839e-04 7.109e-03 -1.000 1.616e-02 7.794 8.953 10.569 7.731
0.0161 0.04159 7.00000 0.4000000358 2.1185026169    0.400 -1.126  3.5039  4.133    0  0.000  0.545     0.00     0.00 -1 -1.29e-14      0.00 7.065e-01 2.773e-01 2.906e-03 7.839e-04 7.109e-03 -1.000 1.616e-02 7.585 8.669 10.204 7.471
