# File generated by CMD 3.4 (http://stev.oapd.inaf.it/cmd) on Fri Dec  4 21:59:50 CET 2020
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: Gaia EDR3 (all Vegamags, Gaia passbands from ESA/Gaia website)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Age = 1.000000E+07 yr
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Gmag    G_BPmag  G_RPmag
0.0121 -0.08923 7.00000 0.0900000036 1.0816895962    0.090 -2.045  3.4074  4.019    0  0.000  0.545     0.00     0.00 -1 -3.74e-15      0.00 7.173e-01 2.704e-01 2.205e-03 5.951e-04 5.397e-03 -1.000 1.227e-02 9.882 11.853 14.431 10.413
0.0121 -0.08923 7.00000 0.0977496654 1.1520287991    0.098 -1.997  3.4125  4.027    0  0.000  0.545     0.00     0.00 -1 -3.97e-15      0.00 7.173e-01 2.704e-01 2.205e-03 5.951e-04 5.397e-03 -1.000 1.227e-02 9.762 11.733 14.313 10.293
0.0121 -0.08923 7.00000 0.1000000015 1.1711064577    0.100 -1.983  3.4139  4.028    0  0.000  0.545     0.00     0.00 -1 -4.05e-15      0.00 7.173e-01 2.704e-01 2.205e-03 5.951e-04 5.397e-03 -1.000 1.227e-02 9.727 11.698 14.279 10.258
0.0121 -0.08923 7.00000 0.1200000048 1.3193155527    0.120 -1.872  3.4255  4.043    0  0.000  0.545     0.00     0.00 -1 -4.69e-15      0.00 7.173e-01 2.704e-01 2.205e-03 5.951e-04 5.397e-03 -1.000 1.227e-02 9.451 11.311 13.760 9.896
0.0121 -0.08923 7.00000 0.1309556216 1.3875136375    0.131 -1.818  3.4317  4.051    0  0.000  0.545     0.00     0.00 -1 -5.04e-15      0.00 7.173e-01 2.704e-01 2.205e-03 5.951e-04 5.397e-03 -1.000 1.227e-02 9.314 11.090 13.441 9.694
0.0121 -0.08923 7.00000 0.1479826719 1.4799803495    0.148 -1.740  3.4405  4.062    0  0.000  0.545     0.00     0.00 -1 -5.57e-15      0.00 7.173e-01 2.704e-01 2.205e-03 5.951e-04 5.397e-03 -1.000 1.227e-02 9.120 10.786 13.016 9.416
0.0121 -0.08923 7.00000 0.1518297493 1.4989675283    0.152 -1.724  3.4424  4.065    0  0.000  0.545     0.00     0.00 -1  -5.7e-15      0.00 7.173e-01 2.704e-01 2.205e-03 5.951e-04 5.397e-03 -1.000 1.227e-02 9.080 10.722 12.927 9.358
0.0121 -0.08923 7.00000 0.1541040540 1.5099006891    0.154 -1.714  3.4435  4.066    0  0.000  0.545     0.00     0.00 -1  -5.8e-15      0.00 7.173e-01 2.704e-01 2.205e-03 5.951e-04 5.397e-03 -1.000 1.227e-02 9.055 10.683 12.872 9.322
0.0121 -0.08923 7.00000 0.1666889787 1.5668239594    0.167 -1.664  3.4491  4.072    0  0.000  0.545     0.00     0.00 -1 -6.22e-15      0.00 7.173e-01 2.704e-01 2.205e-03 5.951e-04 5.397e-03 -1.000 1.227e-02 8.930 10.491 12.605 9.146
0.0121 -0.08923 7.00000 0.1804176569 1.6228725910    0.180 -1.613  3.4547  4.078    0  0.000  0.545     0.00     0.00 -1 -6.67e-15      0.00 7.173e-01 2.704e-01 2.205e-03 5.951e-04 5.397e-03 -1.000 1.227e-02 8.803 10.297 12.334 8.970
0.0121 -0.08923 7.00000 0.1953182817 1.6777502298    0.195 -1.562  3.4604  4.084    0  0.000  0.545     0.00     0.00 -1 -7.16e-15      0.00 7.173e-01 2.704e-01 2.205e-03 5.951e-04 5.397e-03 -1.000 1.227e-02 8.675 10.102 12.060 8.793
0.0121 -0.08923 7.00000 0.2119645327 1.7329595089    0.212 -1.510  3.4661  4.091    0  0.000  0.545     0.00     0.00 -1 -7.69e-15      0.00 7.173e-01 2.704e-01 2.205e-03 5.951e-04 5.397e-03 -1.000 1.227e-02 8.545 9.916 11.809 8.622
0.0121 -0.08923 7.00000 0.2307256311 1.7887958288    0.231 -1.456  3.4721  4.097    0  0.000  0.545     0.00     0.00 -1 -8.29e-15      0.00 7.173e-01 2.704e-01 2.205e-03 5.951e-04 5.397e-03 -1.000 1.227e-02 8.410 9.721 11.545 8.444
0.0121 -0.08923 7.00000 0.2699153423 1.8884088993    0.270 -1.356  3.4834  4.111    0  0.000  0.545     0.00     0.00 -1 -9.48e-15      0.00 7.173e-01 2.704e-01 2.205e-03 5.951e-04 5.397e-03 -1.000 1.227e-02 8.161 9.366 11.066 8.121
0.0121 -0.08923 7.00000 0.2980698347 1.9490323067    0.298 -1.292  3.4908  4.120    0  0.000  0.545     0.00     0.00 -1 -1.03e-14      0.00 7.173e-01 2.704e-01 2.205e-03 5.951e-04 5.397e-03 -1.000 1.227e-02 8.001 9.137 10.756 7.915
0.0121 -0.08923 7.00000 0.3000000119 1.9529139996    0.300 -1.288  3.4913  4.120    0  0.000  0.545     0.00     0.00 -1 -1.04e-14      0.00 7.173e-01 2.704e-01 2.205e-03 5.951e-04 5.397e-03 -1.000 1.227e-02 7.991 9.122 10.737 7.902
0.0121 -0.08923 7.00000 0.3200110793 1.9913356304    0.320 -1.248  3.4959  4.127    0  0.000  0.545     0.00     0.00 -1  -1.1e-14      0.00 7.173e-01 2.704e-01 2.205e-03 5.951e-04 5.397e-03 -1.000 1.227e-02 7.891 8.987 10.561 7.779
