# File generated by CMD 3.3 (http://stev.oapd.inaf.it/cmd) on Tue Jun 11 02:10:21 CEST 2019
# isochrones based on PARSEC release v1.2S
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Chabrier (2001) lognormal 
# Kind of output: isochrone tables
# Age = 1.000000E+07 yr
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
0.0055 -0.44261 7.00000 0.0900000036 1.4676543474    0.090 -1.982  3.4402  4.087    0 9.725 16.253 14.791 13.218 11.539 9.615 7.717 7.199 6.844
0.0055 -0.44261 7.00000 0.1000000015 1.5704020262    0.100 -1.918  3.4481  4.100    0 9.564 15.844 14.418 12.862 11.254 9.387 7.571 7.049 6.703
0.0055 -0.44261 7.00000 0.1049093455 1.6172140837    0.105 -1.889  3.4514  4.105    0 9.492 15.671 14.258 12.707 11.130 9.288 7.506 6.982 6.639
0.0055 -0.44261 7.00000 0.1199999973 1.7478251457    0.120 -1.807  3.4606  4.118    0 9.286 15.197 13.818 12.275 10.776 9.013 7.321 6.792 6.459
0.0055 -0.44261 7.00000 0.1263175309 1.7974318266    0.126 -1.775  3.4640  4.123    0 9.209 15.028 13.659 12.122 10.650 8.913 7.250 6.718 6.390
0.0055 -0.44261 7.00000 0.1404244155 1.8987208605    0.140 -1.711  3.4709  4.132    0 9.048 14.677 13.333 11.808 10.390 8.707 7.103 6.567 6.248
0.0055 -0.44261 7.00000 0.1538207084 1.9844845533    0.154 -1.655  3.4767  4.138    0 8.906 14.388 13.061 11.547 10.169 8.531 6.974 6.434 6.123
0.0055 -0.44261 7.00000 0.1595531255 2.0185585022    0.160 -1.633  3.4790  4.142    0 8.852 14.274 12.954 11.443 10.083 8.463 6.925 6.383 6.075
0.0055 -0.44261 7.00000 0.1705171466 2.0796575546    0.170 -1.590  3.4832  4.145    0 8.746 14.070 12.759 11.254 9.920 8.335 6.829 6.284 5.980
0.0055 -0.44261 7.00000 0.1852898300 2.1544816494    0.185 -1.539  3.4885  4.151    0 8.617 13.821 12.520 11.020 9.718 8.179 6.713 6.163 5.866
0.0055 -0.44261 7.00000 0.2014301121 2.2279829979    0.201 -1.488  3.4939  4.157    0 8.490 13.578 12.286 10.794 9.524 8.027 6.599 6.043 5.753
0.0055 -0.44261 7.00000 0.2195516378 2.3016152382    0.220 -1.434  3.4991  4.162    0 8.355 13.330 12.048 10.567 9.327 7.869 6.476 5.914 5.632
0.0055 -0.44261 7.00000 0.2393431813 2.3729703426    0.239 -1.380  3.5044  4.167    0 8.221 13.096 11.820 10.346 9.132 7.716 6.356 5.787 5.512
0.0055 -0.44261 7.00000 0.2551605403 2.4243485928    0.255 -1.341  3.5085  4.172    0 8.124 12.923 11.650 10.181 8.988 7.603 6.269 5.694 5.424
0.0055 -0.44261 7.00000 0.2820950747 2.5018534660    0.282 -1.277  3.5154  4.179    0 7.963 12.650 11.378 9.915 8.751 7.421 6.128 5.543 5.280
0.0055 -0.44261 7.00000 0.3000000119 2.5475041866    0.300 -1.238  3.5196  4.184    0 7.866 12.485 11.213 9.752 8.607 7.311 6.042 5.451 5.193
0.0055 -0.44261 7.00000 0.3273004293 2.6097271442    0.327 -1.186  3.5251  4.191    0 7.736 12.268 10.997 9.545 8.422 7.166 5.927 5.328 5.075
0.0055 -0.44261 7.00000 0.3499999642 2.6555199623    0.350 -1.145  3.5294  4.196    0 7.632 12.094 10.825 9.381 8.275 7.050 5.835 5.229 4.981
0.0055 -0.44261 7.00000 0.3791155219 2.7077095509    0.379 -1.096  3.5346  4.204    0 7.511 11.897 10.629 9.192 8.106 6.918 5.729 5.115 4.873
0.0055 -0.44261 7.00000 0.3999999762 2.7413370609    0.400 -1.063  3.5382  4.208    0 7.428 11.762 10.495 9.063 7.990 6.827 5.656 5.038 4.798
0.0055 -0.44261 7.00000 0.4387634695 2.7965207100    0.438 -1.006  3.5448  4.217    0 7.286 11.528 10.261 8.840 7.788 6.672 5.533 4.905 4.672
0.0055 -0.44261 7.00000 0.4499999881 2.8109800816    0.450 -0.991  3.5466  4.220    0 7.247 11.464 10.197 8.778 7.732 6.629 5.499 4.868 4.637
0.0055 -0.44261 7.00000 0.4785102010 2.8450314999    0.478 -0.954  3.5514  4.229    0 7.155 11.307 10.040 8.628 7.597 6.529 5.421 4.784 4.557
0.0055 -0.44261 7.00000 0.4999999702 2.8684778214    0.500 -0.926  3.5549  4.235    0 7.085 11.193 9.925 8.518 7.497 6.454 5.362 4.721 4.497
0.0055 -0.44261 7.00000 0.5075652599 2.8763201237    0.508 -0.917  3.5564  4.238    0 7.063 11.152 9.884 8.478 7.462 6.430 5.345 4.701 4.479
0.0055 -0.44261 7.00000 0.5321501493 2.9003934860    0.532 -0.886  3.5608  4.245    0 6.986 11.019 9.750 8.351 7.347 6.347 5.281 4.632 4.413
0.0055 -0.44261 7.00000 0.5500000119 2.9166350365    0.550 -0.864  3.5636  4.248    0 6.929 10.927 9.659 8.262 7.266 6.287 5.233 4.580 4.364
0.0055 -0.44261 7.00000 0.5619473457 2.9269776344    0.562 -0.849  3.5660  4.253    0 6.893 10.863 9.594 8.200 7.210 6.248 5.205 4.548 4.335
0.0055 -0.44261 7.00000 0.5972318053 2.9553055763    0.597 -0.805  3.5727  4.261    0 6.781 10.670 9.402 8.020 7.047 6.130 5.112 4.447 4.241
0.0055 -0.44261 7.00000 0.5999999642 2.9573988914    0.600 -0.801  3.5732  4.261    0 6.772 10.654 9.386 8.005 7.034 6.120 5.104 4.438 4.233
0.0055 -0.44261 7.00000 0.6283298135 2.9778497219    0.628 -0.764  3.5794  4.270    0 6.680 10.486 9.221 7.856 6.901 6.022 5.029 4.355 4.159
0.0055 -0.44261 7.00000 0.6499999762 2.9923686981    0.650 -0.737  3.5836  4.274    0 6.612 10.364 9.103 7.748 6.805 5.952 4.973 4.294 4.103
0.0055 -0.44261 7.00000 0.6543206573 2.9951519966    0.654 -0.731  3.5847  4.276    0 6.598 10.335 9.075 7.724 6.783 5.937 4.962 4.281 4.092
0.0055 -0.44261 7.00000 0.6999999881 3.0225379467    0.700 -0.665  3.5961  4.285    0 6.433 10.030 8.778 7.463 6.553 5.767 4.827 4.132 3.962
0.0055 -0.44261 7.00000 0.7018086910 3.0235512257    0.702 -0.660  3.5978  4.287    0 6.420 9.995 8.745 7.436 6.530 5.753 4.818 4.122 3.954
0.0055 -0.44261 7.00000 0.7495123148 3.0485594273    0.750 -0.521  3.6422  4.355    0 6.073 8.922 7.833 6.731 5.970 5.383 4.577 3.905 3.799
0.0055 -0.44261 7.00000 0.7909330130 3.0678977966    0.791 -0.470  3.6483  4.351    0 5.945 8.652 7.617 6.552 5.817 5.253 4.468 3.809 3.709
0.0055 -0.44261 7.00000 0.7990245819 3.0714476109    0.799 -0.457  3.6497  4.349    0 5.914 8.587 7.565 6.508 5.779 5.221 4.440 3.785 3.686
0.0055 -0.44261 7.00000 0.8485368490 3.0916621685    0.848 -0.384  3.6601  4.343    0 5.730 8.154 7.244 6.243 5.558 5.032 4.288 3.662 3.571
0.0055 -0.44261 7.00000 0.8893218040 3.1065833569    0.889 -0.318  3.6707  4.340    0 5.566 7.757 6.957 6.004 5.361 4.863 4.155 3.561 3.477
0.0055 -0.44261 7.00000 0.8980491161 3.1095957756    0.897 -0.301  3.6734  4.338    0 5.523 7.656 6.885 5.945 5.312 4.819 4.122 3.536 3.454
0.0055 -0.44261 7.00000 0.9273082614 3.1192719936    0.927 -0.247  3.6825  4.333    0 5.387 7.330 6.652 5.751 5.153 4.680 4.014 3.457 3.380
0.0055 -0.44261 7.00000 0.9475613832 3.1256115437    0.947 -0.208  3.6890  4.330    0 5.290 7.102 6.491 5.616 5.042 4.582 3.939 3.404 3.330
0.0055 -0.44261 7.00000 0.9704061151 3.1324369907    0.970 -0.165  3.6961  4.327    0 5.183 6.861 6.321 5.473 4.923 4.476 3.858 3.344 3.273
0.0055 -0.44261 7.00000 0.9970737100 3.1399993896    0.997 -0.111  3.7051  4.320    0 5.048 6.563 6.108 5.295 4.773 4.344 3.755 3.267 3.200
0.0055 -0.44261 7.00000 1.0143936872 3.1446897984    1.014 -0.075  3.7110  4.315    0 4.959 6.373 5.972 5.181 4.677 4.258 3.687 3.216 3.152
0.0055 -0.44261 7.00000 1.0465859175 3.1529633999    1.046 -0.005  3.7223  4.304    0 4.783 6.018 5.714 4.963 4.490 4.091 3.555 3.115 3.055
0.0055 -0.44261 7.00000 1.0747156143 3.1597557068    1.074  0.058  3.7320  4.291    0 4.625 5.716 5.489 4.774 4.325 3.942 3.436 3.022 2.966
0.0055 -0.44261 7.00000 1.0960983038 3.1646673679    1.095  0.109  3.7396  4.279    0 4.498 5.484 5.313 4.626 4.196 3.824 3.341 2.946 2.893
0.0055 -0.44261 7.00000 1.0970797539 3.1648879051    1.096  0.111  3.7399  4.279    0 4.492 5.473 5.305 4.620 4.190 3.819 3.336 2.942 2.889
0.0055 -0.44261 7.00000 1.1252630949 3.1710424423    1.124  0.182  3.7499  4.258    0 4.314 5.168 5.069 4.418 4.012 3.657 3.202 2.830 2.782
0.0055 -0.44261 7.00000 1.1456104517 3.1752827168    1.145  0.237  3.7572  4.241    0 4.177 4.947 4.891 4.266 3.876 3.533 3.098 2.742 2.698
0.0055 -0.44261 7.00000 1.1617624760 3.1785347462    1.161  0.283  3.7630  4.224    0 4.064 4.771 4.746 4.143 3.765 3.431 3.010 2.667 2.626
0.0055 -0.44261 7.00000 1.1866260767 3.1833539009    1.186  0.357  3.7719  4.195    0 3.877 4.496 4.511 3.943 3.584 3.265 2.867 2.542 2.505
0.0055 -0.44261 7.00000 1.1951228380 3.1849513054    1.195  0.384  3.7750  4.184    0 3.811 4.400 4.428 3.872 3.520 3.206 2.816 2.498 2.463
0.0055 -0.44261 7.00000 1.2150660753 3.1886057854    1.215  0.448  3.7824  4.156    0 3.650 4.175 4.229 3.702 3.366 3.063 2.692 2.390 2.358
0.0055 -0.44261 7.00000 1.2355544567 3.1922278404    1.235  0.515  3.7901  4.128    0 3.484 3.950 4.023 3.528 3.207 2.916 2.565 2.281 2.252
0.0055 -0.44261 7.00000 1.2446351051 3.1937918663    1.244  0.543  3.7937  4.116    0 3.411 3.856 3.934 3.452 3.138 2.854 2.510 2.233 2.206
0.0055 -0.44261 7.00000 1.2638211250 3.1970167160    1.264  0.603  3.8015  4.095    0 3.263 3.662 3.749 3.296 2.998 2.726 2.401 2.138 2.114
0.0055 -0.44261 7.00000 1.2839057446 3.2002770901    1.284  0.661  3.8104  4.079    0 3.118 3.474 3.565 3.144 2.864 2.607 2.301 2.055 2.034
0.0055 -0.44261 7.00000 1.2941472530 3.2018954754    1.294  0.688  3.8153  4.075    0 3.049 3.386 3.477 3.071 2.801 2.552 2.257 2.020 2.001
0.0055 -0.44261 7.00000 1.3004319668 3.2028741837    1.300  0.705  3.8184  4.073    0 3.007 3.332 3.422 3.027 2.763 2.519 2.231 2.001 1.983
0.0055 -0.44261 7.00000 1.3202295303 3.2058885098    1.320  0.751  3.8294  4.077    0 2.893 3.180 3.266 2.904 2.660 2.435 2.173 1.965 1.949
0.0055 -0.44261 7.00000 1.3436598778 3.2093260288    1.344  0.797  3.8444  4.099    0 2.778 3.030 3.101 2.780 2.565 2.365 2.137 1.959 1.945
0.0055 -0.44261 7.00000 1.3460481167 3.2096686363    1.346  0.801  3.8462  4.103    0 2.767 3.015 3.084 2.768 2.556 2.360 2.135 1.961 1.948
0.0055 -0.44261 7.00000 1.3509707451 3.2103707790    1.351  0.809  3.8499  4.112    0 2.748 2.988 3.053 2.747 2.542 2.352 2.136 1.970 1.956
0.0055 -0.44261 7.00000 1.3685331345 3.2128291130    1.369  0.828  3.8629  4.150    0 2.701 2.918 2.968 2.693 2.513 2.346 2.158 2.016 2.005
0.0055 -0.44261 7.00000 1.3931720257 3.2161598206    1.393  0.837  3.8775  4.207    0 2.676 2.874 2.906 2.665 2.512 2.371 2.215 2.099 2.089
0.0055 -0.44261 7.00000 1.4134167433 3.2187979221    1.414  0.836  3.8871  4.252    0 2.679 2.866 2.888 2.667 2.533 2.408 2.271 2.172 2.163
0.0055 -0.44261 7.00000 1.4404194355 3.2221860886    1.441  0.829  3.8942  4.297    0 2.699 2.879 2.895 2.689 2.566 2.453 2.331 2.243 2.235
0.0055 -0.44261 7.00000 1.4426841736 3.2224636078    1.443  0.828  3.8946  4.299    0 2.699 2.879 2.895 2.690 2.568 2.456 2.334 2.247 2.239
0.0055 -0.44261 7.00000 1.4727166891 3.2260537148    1.473  0.827  3.9011  4.335    0 2.702 2.877 2.886 2.694 2.584 2.483 2.375 2.297 2.290
0.0055 -0.44261 7.00000 1.4921965599 3.2282948494    1.492  0.842  3.9064  4.347    0 2.665 2.836 2.839 2.659 2.559 2.467 2.369 2.300 2.293
0.0055 -0.44261 7.00000 1.5214791298 3.2315413952    1.521  0.862  3.9145  4.368    0 2.615 2.782 2.776 2.615 2.530 2.451 2.368 2.310 2.304
0.0055 -0.44261 7.00000 1.5417087078 3.2337026596    1.542  0.895  3.9234  4.376    0 2.532 2.696 2.680 2.541 2.472 2.408 2.340 2.294 2.288
0.0055 -0.44261 7.00000 1.5508010387 3.2346529961    1.551  0.910  3.9274  4.380    0 2.495 2.657 2.638 2.509 2.447 2.389 2.328 2.288 2.282
0.0055 -0.44261 7.00000 1.5912210941 3.2387297153    1.591  0.974  3.9458  4.401    0 2.335 2.494 2.474 2.387 2.353 2.320 2.287 2.266 2.261
0.0055 -0.44261 7.00000 1.5963289738 3.2392280102    1.596  0.982  3.9483  4.404    0 2.314 2.473 2.454 2.373 2.342 2.312 2.283 2.264 2.259
0.0055 -0.44261 7.00000 1.6407332420 3.2434041500    1.640  1.029  3.9608  4.419    0 2.198 2.358 2.353 2.295 2.279 2.263 2.251 2.242 2.239
0.0055 -0.44261 7.00000 1.6902457476 3.2477545738    1.689  1.073  3.9756  4.447    0 2.088 2.253 2.273 2.239 2.236 2.234 2.241 2.241 2.242
0.0055 -0.44261 7.00000 1.7397580147 3.2518117428    1.739  1.115  3.9863  4.460    0 1.983 2.153 2.195 2.178 2.183 2.189 2.210 2.216 2.219
