#z	C	T1	C-T1
0.001	13.858	10.793	3.065
0.001	12.601	9.96	2.641
0.001	11.97	9.453	2.517
0.001	11.479	9.057	2.422
0.001	11.068	8.726	2.342
0.001	10.597	8.337	2.26
0.001	10.159	7.997	2.162
0.001	9.671	7.627	2.044
0.001	9.08	7.211	1.869
0.001	8.429	6.777	1.652
0.001	7.149	5.966	1.183
0.001	6.126	5.299	0.827
0.001	5.359	4.718	0.641
0.001	4.743	4.221	0.522
0.001	4.189	3.758	0.431
0.001	3.696	3.373	0.323
0.001	3.262	3.058	0.204
0.001	2.926	2.832	0.094
0.001	2.633	2.633	0
0.001	2.404	2.482	-0.078
0.001	2.284	2.395	-0.111
0.001	2.194	2.337	-0.143
0.001	2.093	2.264	-0.171
0.001	2.024	2.221	-0.197
0.001	1.861	2.103	-0.242
0.001	1.71	1.991	-0.281
0.001	1.448	1.791	-0.343
0.001	1.102	1.52	-0.418
0.001	0.623	1.128	-0.505
0.001	0.219	0.79	-0.571
0.001	-0.123	0.499	-0.622
0.001	-0.422	0.245	-0.667
0.001	-0.685	0.019	-0.704
0.001	-1.136	-0.37	-0.766
0.001	-1.527	-0.712	-0.815
0.001	-2.025	-1.144	-0.881
0.001	-2.449	-1.518	-0.931
0.001	-2.929	-1.947	-0.982
0.001	-3.502	-2.474	-1.028
0.001	-4.097	-3.044	-1.053
0.001	-4.786	-3.709	-1.077
0.001	-5.252	-4.16	-1.092
0.001	-6.009	-4.906	-1.103
0.001	-6.522	-5.415	-1.107
0.004	14.444	11.173	3.271
0.004	13.025	10.174	2.851
0.004	12.283	9.606	2.677
0.004	11.774	9.186	2.588
0.004	11.367	8.845	2.522
0.004	10.944	8.468	2.476
0.004	10.576	8.166	2.41
0.004	10.137	7.817	2.32
0.004	9.632	7.43	2.202
0.004	9.093	7.035	2.058
0.004	7.832	6.198	1.634
0.004	6.696	5.485	1.211
0.004	5.813	4.9	0.913
0.004	5.095	4.369	0.726
0.004	4.49	3.894	0.596
0.004	3.974	3.48	0.494
0.004	3.507	3.123	0.384
0.004	3.095	2.827	0.268
0.004	2.754	2.597	0.157
0.004	2.464	2.407	0.057
0.004	2.221	2.243	-0.022
0.004	2.011	2.095	-0.084
0.004	1.834	1.973	-0.139
0.004	1.659	1.846	-0.187
0.004	1.378	1.636	-0.258
0.004	1.008	1.349	-0.341
0.004	0.5	0.939	-0.439
0.004	0.09	0.602	-0.512
0.004	-0.264	0.308	-0.572
0.004	-0.557	0.061	-0.618
0.004	-0.818	-0.157	-0.661
0.004	-1.281	-0.553	-0.728
0.004	-1.675	-0.89	-0.785
0.004	-2.326	-1.463	-0.863
0.004	-3.067	-2.115	-0.952
0.004	-3.637	-2.63	-1.007
0.004	-4.27	-3.227	-1.043
0.004	-4.993	-3.92	-1.073
0.004	-5.457	-4.37	-1.087
0.004	-6.071	-4.968	-1.103
0.019	15.348	12.115	3.233
0.019	14.25	11.175	3.075
0.019	13.576	10.581	2.995
0.019	13.019	10.118	2.901
0.019	12.532	9.715	2.817
0.019	12.051	9.308	2.743
0.019	11.602	8.901	2.701
0.019	11.139	8.48	2.659
0.019	10.68	8.064	2.616
0.019	10.239	7.674	2.565
0.019	9.232	6.878	2.354
0.019	8.136	6.108	2.028
0.019	7.074	5.429	1.645
0.019	6.21	4.875	1.335
0.019	5.513	4.391	1.122
0.019	4.766	3.86	0.906
0.019	4.212	3.449	0.763
0.019	3.738	3.093	0.645
0.019	3.332	2.797	0.535
0.019	2.943	2.52	0.423
0.019	2.592	2.273	0.319
0.019	2.303	2.082	0.221
0.019	1.955	1.854	0.101
0.019	1.775	1.715	0.06
0.019	1.47	1.517	-0.047
0.019	1.025	1.194	-0.169
0.019	0.43	0.738	-0.308
0.019	-0.031	0.372	-0.403
0.019	-0.401	0.075	-0.476
0.019	-0.711	-0.175	-0.536
0.019	-0.997	-0.41	-0.587
0.019	-1.486	-0.817	-0.669
0.019	-1.893	-1.159	-0.734
0.019	-2.596	-1.77	-0.826
0.019	-3.334	-2.413	-0.921
0.019	-3.901	-2.916	-0.985
0.019	-4.553	-3.52	-1.033
0.019	-5.321	-4.254	-1.067
0.019	-5.781	-4.698	-1.083
0.019	-6.423	-5.325	-1.098
